mention,wp_title,cosine
Antony Fauci,Cesario di Terracina,0.81655276
Antony Fauci,Martin Gilbert,0.89468485
Antony Fauci,Sydney Brenner,0.79968727
António Guterres,António Guterres,0.99999976
António Guterres,António Costa,0.86671734
António Guterres,António de Oliveira Salazar,0.85796124
António Guterres,Elisa Ferreira,0.8367577
António Guterres,Antonio Segni,0.8636092
António Guterres,Angela Merkel,0.8139951
Armando Siri,Armando Siri,1.0
Armando Siri,Matteo Messina Denaro,0.84115565
Armando Siri,Paolo Arata,0.8592923
Armando Siri,Umberto Del Basso De Caro,0.8119018
Armando Siri,Simona Vicari,0.8818238
Artemis,Artemisia Gentileschi,0.8516017
Artemis,Artemisia I,0.8663158
Asch,Sholem Asch,0.9138027
Asch,Solomon Asch,0.9247782
Asch,Roland Asch,0.9524946
Asch,Hans Hellmut Kirst,0.84757155
Asch,Frank Asch,0.94530964
Asch,Peter Asch,0.9395944
Aspirina,Bruce Lee,0.80016726
Astrazeneca,Mario Draghi,0.83088684
Astrazeneca,Andrea Scanzi,0.80430484
Astrazeneca,Roberto Speranza,0.81709677
Attali,Jacques Attali,0.90818834
Attali,Attalo I,0.8137969
Attali,Yvan Attal,0.7823992
Attali,Gabriel Attal,0.8131128
Attali,Erieta Attali,0.85409796
Avevamo,Priscilla Presley,0.83376634
Avevamo,Norman Schwarzkopf,0.76729786
Avevamo,Francesco Brandi,0.8725431
Avvertiamo,Richard Wagner,0.8313823
Avvertiamo,Franco Basaglia,0.8536515
Avvertiamo,Carlo Azeglio Ciampi,0.7688869
Avvertiamo,Nicola Cusano,0.84773934
Azzolina,Lucia Azzolina,0.95639
Azzolina,Gaetano Azzolina,0.9470179
Azzolina,Lauro Azzolini,0.8609254
Azzolina,Pasquale Azzolina,0.95903677
Azzolina,Angelo Azzolina,0.95794946
Azzolina,Decio Azzolino il Giovane,0.8779663
Azzolina,Vincenzo Azzolini,0.88204664
Azzolina,Antonio Monda,0.8579726
B.,B.B. King,0.9415281
B. Johnson,Lyndon B. Johnson,0.95456594
B. Johnson,Andrew Johnson,0.8421652
B. Johnson,Bryan Cranston,0.7740551
B. Johnson,Magic Johnson,0.83900934
B. Johnson,Lady Bird Johnson,0.84049326
Balboni,Alberto Balboni,0.9482088
Balboni,Valentino Balboni,0.9271602
