s,o,entity
odang_person_2391823,P26,Q20644315
odang_person_4356142,P103,Q652
odang_person_3689444,P1412,Q652
odang_person_8435522,P106,Q1420621
odang_person_2392148,P106,Q1114448
Q73511052,label,sindaco di Forlì
odang_person_1231562,P27,Q38
odang_person_7166218,P39,Q29552004
odang_person_2391418,P106,Q28389
odang_person_1198501,P102,Q387006
odang_person_5057318,P21,Q6581097
odang_person_4778556,P569,1821
odang_person_5998484,P21,Q6581097
odang_person_2403295,P166,Q206959
odang_person_11645,P106,Q28389
odang_person_1208972,P40,Q102433555
odang_person_305,P463,Q322775
Q1427486,label,Flavio Boltro
odang_person_8360900,P26,Q444509
odang_person_76245,P102,Q461886
odang_person_1198348,P39,Q1749063
odang_person_8361107,P166,Q2009646
Q23011122,label,Dashiel Edan Anderson
odang_person_4792416,P3373,Q5431091
odang_person_2392369,P1412,Q9056
Q2055046,label,fisiologo
Q478741,label,Paternò
odang_person_3922131,P1412,Q188
odang_person_107554,P19,Q220
odang_person_6396245,P106,Q937857
odang_person_1825551,P1412,Q652
odang_person_3592968,P26,Q109324907
odang_person_1213644,P39,Q13653224
odang_person_7268765,P39,Q18558478
odang_person_2495566,P463,Q811887
odang_person_8910746,P103,Q652
odang_person_1228995,P39,Q18558478
odang_person_7578143,P551,Q332952
odang_person_4882592,P106,Q2259451
odang_person_2994924,P19,Q220
odang_person_2494883,P27,Q38
Q18286363,label,Rafael Tamarit Pitarch
odang_person_2391428,P106,Q49757
odang_person_7190160,P106,Q212948
odang_person_103075,P19,Q495
odang_person_6078783,P937,Q239
odang_person_8381325,P569,1450
odang_person_2391515,P21,Q6581097
Q1453052,label,Mapai
odang_person_2,P166,Q2028158
odang_person_2435575,P19,Q8848
odang_person_8469076,P27,Q38
odang_person_2403923,P166,Q2454427
odang_person_2668386,P19,Q2302488
odang_person_5970878,P166,Q16140640
odang_person_7213688,P21,Q6581097
odang_person_16,P166,Q20888823
odang_person_2392575,P166,Q1991972
odang_person_72979,P19,Q111473
odang_person_1197360,P1066,Q366328
odang_person_7177852,P3373,Q554689
odang_person_7273959,P569,1955
Q236774,label,Caterina di Sassonia-Lauenburg
odang_person_1220118,P569,1948
Q428446,label,Vincenzo Capone
odang_person_4784780,P6886,Q652
odang_person_6344031,P106,Q3665646
odang_person_8944405,P1412,Q1860
odang_person_7174015,P106,Q1930187
odang_person_1218183,P103,Q652
odang_person_2706,P40,Q85717420
odang_person_18,P166,Q42309521
odang_person_4887681,P21,Q6581097
odang_person_2392130,P39,Q20058666
Q1622272,label,professore universitario
odang_person_71426,P21,Q6581097
odang_person_4778355,P166,Q3885380
odang_person_7185640,P39,Q18558478
Q34330,label,Noventa Padovana
Q7994501,label,Britannico bianco
odang_person_8447376,P1412,Q652
odang_person_4778949,P166,Q15715252
Q211462,label,Brandon Lee
odang_person_7165910,P106,Q2526255
Q649593,label,Barack Obama
odang_person_2706,P1412,Q652
Q153658,label,Hannah Chaplin
odang_person_1198301,P39,Q13653224
odang_person_3690863,P19,Q490
odang_person_8387371,P103,Q652
odang_person_8361021,P1412,Q1860
odang_person_2499844,P106,Q947873
odang_person_7172422,P1038,Q795584
odang_person_710,P106,Q662729
odang_person_3690586,P21,Q6581097
odang_person_2410228,P937,Q6602
odang_person_5141968,P19,Q495
odang_person_6078153,P1412,Q652
odang_person_3587853,P39,Q27169
odang_person_27117,P102,Q139596
odang_person_7966,P463,Q30907154
odang_person_7165093,P463,Q4397946
odang_person_3690863,P21,Q6581097
odang_person_1197404,P166,Q10904959
odang_person_1197541,P166,Q5300150
odang_person_1210952,P3373,Q16501177
odang_person_22,P166,Q19883682
odang_person_8361107,P166,Q20888805
odang_person_2396364,P27,Q172579
odang_person_4796929,P19,Q53246
odang_person_4778023,P463,Q123885
odang_person_6053158,P39,Q54869579
odang_person_8824014,P106,Q81096
odang_person_8366737,P1412,Q1366643
Q432337,label,Racalmuto
odang_person_12684,P106,Q185351
odang_person_7172856,P19,Q5968
odang_person_3676599,P106,Q155647
odang_person_3689315,P21,Q6581072
odang_person_7462496,P569,1786
odang_person_8465610,P569,1938
odang_person_4777892,P19,Q40516
odang_person_2392284,P106,Q18814623
odang_person_7165799,P25,Q107526145
odang_person_2391408,P106,Q372436
odang_person_7184445,P1412,Q188
odang_person_2405252,P26,Q3161929
odang_person_7166056,P39,Q167662
odang_person_4778577,P166,Q25755314
odang_person_5411234,P27,Q38
odang_person_3593695,P166,Q14539720
odang_person_2670744,P39,Q28000241
odang_person_7180533,P19,Q2634
odang_person_1207378,P102,Q9626
odang_person_2915111,P106,Q82955
Q891885,label,Broadcast Music Incorporated
odang_person_39713,P27,Q38
Q792004,label,Begeč
odang_person_5982903,P106,Q639669
odang_person_508927,P108,Q593321
odang_person_1301472,P19,Q1155
odang_person_2391689,P463,Q197542
odang_person_3585550,P569,1806
Q1374840,label,Horace Darwin
odang_person_7186585,P19,Q1891
Q261905,label,Maria d'Austria
odang_person_3017568,P27,Q38
Q187702,label,basilica del Santo Sepolcro
odang_person_4786799,P1412,Q397
odang_person_1197459,P106,Q1607826
Q17686,label,Tortona
odang_person_1199721,P166,Q547060
odang_person_4995710,P102,Q3366642
odang_person_2413636,P166,Q206959
odang_person_6074165,P19,Q1891
odang_person_5316,P27,Q183
odang_person_8361328,P27,Q38
Q1636955,label,Nastro d'argento
odang_person_4777870,P39,Q20056508
odang_person_363,P166,Q1366018
odang_person_15950,P106,Q177220
odang_person_678,P1412,Q28602
odang_person_6289665,P166,Q1557678
odang_person_4880821,P21,Q6581097
odang_person_7182745,P39,Q658082
odang_person_1211259,P106,Q82955
Q3848521,label,Mario Deaglio
odang_person_7192031,P569,1657
odang_person_4777898,P39,Q1939555
odang_person_1216427,P6886,Q652
odang_person_15,P463,Q188771
odang_person_2490892,P119,Q608405
odang_person_8626685,P39,Q58622717
Q762707,label,liutaio
Q91199,label,Gaiole in Chianti
odang_person_3586399,P166,Q44722148
odang_person_6076457,P19,Q13680
odang_person_10356,P106,Q11774202
odang_person_8360993,P106,Q1209498
odang_person_8375021,P166,Q2037015
odang_person_3585134,P19,Q384
odang_person_4777962,P108,Q4345832
odang_person_8361055,P463,Q40358
odang_person_5057156,P19,Q20413
odang_person_2391689,P166,Q3885143
odang_person_6079241,P1412,Q652
odang_person_3972378,P108,Q13371
Q58968,label,intellettuale
odang_person_6072732,P106,Q4594605
odang_person_4778510,P19,Q847011
odang_person_5979387,P21,Q6581097
odang_person_24,P945,Q34490
odang_person_2391516,P166,Q570644
odang_person_7164980,P106,Q40348
Q53267,label,Grimacco
odang_person_7473614,P39,Q18558478
odang_person_8360902,P102,Q79854
odang_person_2391586,P106,Q193391
odang_person_1483511,P27,Q38
Q738214,label,Basilica di San Lorenzo fuori le mura
odang_person_1305841,P27,Q38
odang_person_2498975,P1412,Q652
odang_person_7165335,P3373,Q3048420
odang_person_3592365,P21,Q6581097
odang_person_7252553,P21,Q6581072
odang_person_8519334,P27,Q298
odang_person_3584629,P3373,Q4167253
Q2822267,label,French Catholic Academy
odang_person_113,P20,Q220
odang_person_635,P27,Q172579
odang_person_2398353,P106,Q662729
odang_person_7165225,P106,Q169470
odang_person_2391430,P172,Q50001
Q165192,label,svedesi
odang_person_4879059,P569,1976
odang_person_1378606,P27,Q38
odang_person_2416988,P106,Q131524
odang_person_8462000,P569,1983
odang_person_7270675,P21,Q6581097
odang_person_2492604,P106,Q36180
odang_person_2391428,P106,Q333634
odang_person_8361548,P106,Q188094
odang_person_1301230,P21,Q6581097
odang_person_8321638,P106,Q2309784
odang_person_4777860,P21,Q6581097
odang_person_4778577,P6886,Q1860
odang_person_5328816,P569,1999
odang_person_7165093,P166,Q32310
odang_person_2391516,P106,Q3391743
odang_person_7261008,P166,Q904645
odang_person_3601679,P1066,Q18160815
odang_person_3418020,P39,Q73639887
Q39971,label,Gela
odang_person_7275708,P106,Q214917
odang_person_102683,P19,Q52118
odang_person_8462172,P1066,Q3949495
odang_person_3594850,P22,Q12315583
odang_person_11,P569,1932
Q1101617,label,Riccardo Pazzaglia
odang_person_3584673,P166,Q326482
odang_person_2403041,P106,Q36180
odang_person_323,P27,Q1747689
odang_person_8881,P166,Q1738793
odang_person_2391427,P569,1870
odang_person_2412280,P6886,Q9035
odang_person_6047409,P20,Q2044
Q12362622,label,filantropo
odang_person_363,P22,Q12605967
Q104786984,label,Arcivescovo di Buenos Aires
Q2394112,label,Targa Tenco
odang_person_2710012,P106,Q1650915
odang_person_2403295,P21,Q6581097
odang_person_4881499,P1412,Q652
odang_person_1302475,P937,Q220
odang_person_1209430,P3373,Q16858182
odang_person_8361540,P108,Q697730
odang_person_98689,P102,Q47795
odang_person_8375230,P569,1948
odang_person_6191244,P103,Q652
odang_person_6356194,P108,Q3152661
odang_person_8732853,P569,1966
Q130857,label,disc jockey
odang_person_4795017,P106,Q2159907
odang_person_7172744,P20,Q913109
odang_person_85549,P106,Q937857
odang_person_1197828,P27,Q5843680
odang_person_1207847,P569,1939
odang_person_8465478,P106,Q36834
odang_person_2404243,P106,Q193391
odang_person_4789197,P3373,Q783340
odang_person_4784790,P569,1990
odang_person_2391553,P3373,Q296555
odang_person_1205689,P106,Q488205
odang_person_5998484,P1412,Q652
odang_person_22,P20,Q70
Q151087,label,Girolamo Bonaparte
odang_person_107554,P106,Q1930187
Q451002,label,Miúcha
odang_person_5983988,P27,Q38
odang_person_3638118,P569,1964
odang_person_5972001,P19,Q200061
Q3770241,label,Giuseppe Caradonna
Q28470,label,Premio Laurence Olivier
odang_person_5970879,P26,Q1239022
odang_person_2460192,P19,Q2656
Q178488,label,Cefalonia
odang_person_7445814,P106,Q82955
odang_person_7171911,P1038,Q23047420
odang_person_4780482,P1412,Q306626
odang_person_1204068,P551,Q30030739
odang_person_2822883,P569,1959
odang_person_7180166,P39,Q54879307
odang_person_7276259,P106,Q1930187
odang_person_4882842,P27,Q38
odang_person_7202084,P106,Q488205
odang_person_8369964,P1412,Q652
odang_person_3690661,P19,Q13386
odang_person_36505,P19,Q501821
odang_person_363,P22,Q28941300
odang_person_1204698,P6886,Q652
odang_person_8864454,P1412,Q652
odang_person_1208941,P569,1916
odang_person_8360900,P463,Q463303
odang_person_2410523,P108,Q3888863
odang_person_7267428,P106,Q36180
odang_person_8361090,P26,Q27051237
odang_person_1204710,P611,Q165005
odang_person_1541488,P39,Q3477314
odang_person_8464938,P569,1942
odang_person_7165814,P102,Q47750
odang_person_1228995,P106,Q201788
Q44059,label,La Plata
Q40358,label,American Association for the Advancement of Science
odang_person_105191,P1412,Q652
odang_person_2391757,P106,Q3578589
odang_person_8368007,P166,Q20924782
odang_person_7213688,P1412,Q652
odang_person_2394104,P26,Q108920375
odang_person_7167362,P19,Q2966
odang_person_8361771,P21,Q6581097
odang_person_7600057,P569,1996
odang_person_29526,P106,Q937857
odang_person_7165799,P26,Q466662
odang_person_2403940,P166,Q3910732
odang_person_4804205,P106,Q49757
odang_person_8944405,P39,Q62925885
odang_person_3592478,P106,Q82955
odang_person_2493164,P1412,Q1860
odang_person_1503256,P19,Q490
odang_person_8363704,P172,Q50001
odang_person_8361781,P106,Q10798782
odang_person_8375603,P106,Q82955
odang_person_3584625,P106,Q36180
Q838791,label,Whittier
odang_person_7268441,P106,Q33999
odang_person_21049,P19,Q6122
odang_person_7626714,P106,Q329439
odang_person_4887681,P1412,Q652
odang_person_10998,P1412,Q150
Q298,label,Cile
Q621552,label,Premio europeo Charles Veillon per la saggistica
odang_person_7176979,P103,Q652
odang_person_7269943,P19,Q220
odang_person_3595997,P19,Q85
odang_person_5059733,P108,Q2067315
odang_person_8388298,P21,Q6581072
odang_person_2391415,P166,Q3820035
odang_person_7164972,P166,Q1161109
odang_person_3597303,P166,Q1143095
odang_person_7165093,P166,Q23009376
odang_person_7272896,P21,Q6581072
odang_person_1197459,P40,Q4775480
odang_person_4878698,P1412,Q652
odang_person_5977927,P463,Q414110
odang_person_7274907,P1412,Q652
Q166177,label,Pallone d'oro
odang_person_1214534,P166,Q55455135
odang_person_5979044,P19,Q490761
odang_person_1233605,P27,Q38
odang_person_5971377,P569,1564
odang_person_3690586,P1412,Q652
odang_person_6006138,P119,Q99928234
odang_person_8375848,P569,1914
odang_person_7200121,P27,Q142
odang_person_2760603,P21,Q6581072
odang_person_4784814,P106,Q1028181
odang_person_3690258,P106,Q1028181
odang_person_1218645,P119,Q3676869
odang_person_31621,P106,Q81096
odang_person_3593029,P27,Q29
odang_person_8368798,P463,Q123885
odang_person_4880660,P106,Q1028181
odang_person_1204458,P21,Q6581097
odang_person_2406713,P27,Q38
odang_person_26216,P1412,Q652
odang_person_2392575,P166,Q185493
odang_person_3602961,P27,Q38
odang_person_4778023,P39,Q26869646
odang_person_5998328,P27,Q45
odang_person_3931613,P1412,Q1860
odang_person_4777861,P106,Q806798
odang_person_6330646,P106,Q82955
odang_person_8361502,P166,Q1479435
odang_person_2413636,P19,Q490
odang_person_212287,P27,Q38
odang_person_5094509,P937,Q6602
odang_person_1197404,P166,Q445673
Q1379144,label,Eva Cavalli
odang_person_8361512,P937,Q18125
Q105939031,label,Anielle Franco
odang_person_1300371,P1412,Q652
odang_person_3996731,P569,1924
odang_person_29526,P21,Q6581097
Q18200478,label,seconda classe dell'Ordine della Guerra patriottica
odang_person_5369694,P20,Q6602
Q794356,label,Beylikdüzü
odang_person_5970875,P3373,Q55363478
odang_person_7176831,P106,Q82955
odang_person_108405,P1412,Q652
odang_person_214289,P166,Q15715257
odang_person_2471906,P19,Q220
odang_person_5971130,P463,Q338432
odang_person_4777973,P569,1933
odang_person_6080617,P21,Q6581072
odang_person_7594225,P21,Q6581097
odang_person_5163782,P106,Q3055126
odang_person_1220118,P19,Q51239
odang_person_1275132,P3373,Q98640356
odang_person_3592161,P463,Q463303
odang_person_1197470,P106,Q82955
odang_person_9393,P106,Q10800557
odang_person_3591684,P166,Q211672
odang_person_6078689,P106,Q28389
odang_person_513439,P19,Q13364
odang_person_3584674,P569,748
odang_person_7177597,P102,Q461886
odang_person_3612672,P19,Q6606
odang_person_109202,P102,Q47729
odang_person_108154,P106,Q753110
Q82185,label,La Rochelle
odang_person_4777860,P166,Q5365910
odang_person_5979638,P40,Q18393856
odang_person_3585226,P106,Q28389
odang_person_5970856,P166,Q105308519
odang_person_3602961,P106,Q1327329
odang_person_8421,P106,Q3055126
odang_person_3688194,P569,1975
odang_person_4777951,P166,Q60476
odang_person_8370109,P569,1990
Q23712281,label,Abigail Savage
odang_person_11,P166,Q209459
odang_person_8798616,P102,Q327591
odang_person_2434002,P102,Q461886
odang_person_8372668,P103,Q1860
odang_person_7165335,P166,Q571774
odang_person_7164980,P106,Q185351
odang_person_3585668,P20,Q220
odang_person_2501081,P27,Q172579
odang_person_1197470,P39,Q14213
odang_person_7165099,P1038,Q242295
odang_person_1699304,P20,Q220
odang_person_7176268,P937,Q2044
Q1309,label,Maastricht
odang_person_3978716,P19,Q13410
Q378372,label,Banca del Portogallo
odang_person_1218595,P119,Q27426
Q9017214,label,karateka
odang_person_5970875,P463,Q329464
odang_person_6053408,P106,Q82955
odang_person_8465787,P21,Q6581097
odang_person_1226561,P20,Q53130
Q34728,label,Crespino
odang_person_7210201,P27,Q30
odang_person_8361159,P27,Q38
odang_person_7200101,P39,Q4011164
odang_person_2391516,P106,Q2374149
Q812906,label,Beaconsfield
odang_person_8397337,P106,Q82955
odang_person_7165225,P166,Q3853504
odang_person_3584776,P106,Q1930187
odang_person_27117,P106,Q188094
odang_person_7164994,P26,Q270703
odang_person_1298511,P6886,Q652
odang_person_646,P166,Q50616780
odang_person_1304658,P1412,Q652
Q3439798,label,re di Francia e di Navarra
odang_person_6078953,P20,Q220
odang_person_7173736,P27,Q172579
odang_person_2,P166,Q602299
odang_person_7200074,P569,1943
odang_person_2391427,P172,Q49542
Q229871,label,Valeria Messalina
odang_person_8377191,P106,Q639669
odang_person_5989871,P1412,Q1321
odang_person_7270675,P1412,Q652
odang_person_3694467,P1412,Q652
odang_person_7271236,P106,Q822146
odang_person_5977545,P166,Q57446605
Q332711,label,presidente della Repubblica Italiana
Q1086863,label,opinionista
odang_person_5970875,P166,Q28003
odang_person_5977769,P106,Q49757
odang_person_1275132,P39,Q18558478
odang_person_1288465,P27,Q38
odang_person_8462463,P106,Q185351
odang_person_3498503,P102,Q327591
odang_person_7190796,P20,Q495
Q6053382,label,Alex Ponti
odang_person_6254560,P569,1904
odang_person_2400148,P106,Q831474
odang_person_508927,P21,Q6581097
odang_person_8372845,P19,Q13375
odang_person_6002229,P53,Q182135
odang_person_2409220,P569,1926
odang_person_1199367,P463,Q490440
odang_person_4777861,P166,Q15279677
odang_person_3592486,P106,Q155647
odang_person_5971506,P102,Q1453052
odang_person_8361107,P166,Q2044044
odang_person_1197870,P1412,Q1860
Q848172,label,Caleruega
odang_person_8381417,P106,Q169470
odang_person_2498706,P106,Q5322166
odang_person_1299827,P103,Q652
odang_person_6078689,P569,1968
odang_person_2410228,P39,Q47528730
odang_person_5161168,P39,Q18558478
Q7177,label,Jean-Marie Le Pen
odang_person_109339,P20,Q220
odang_person_6019064,P1412,Q652
odang_person_8372631,P39,Q30587681
Q4004901,label,Unione Nazionale
odang_person_2778683,P21,Q6581097
odang_person_4778592,P551,Q585
odang_person_3585620,P166,Q12201445
odang_person_302890,P27,Q38
odang_person_2412682,P19,Q220
odang_person_4806865,P106,Q205375
Q709616,label,Presidente della Commissione di Difesa Nazionale
odang_person_7165272,P20,Q242105
odang_person_1197541,P106,Q2722764
odang_person_5978849,P106,Q10800557
odang_person_5971260,P106,Q639669
odang_person_646,P166,Q20716439
odang_person_8464168,P19,Q13375
odang_person_2776261,P569,1956
odang_person_8467910,P21,Q6581097
odang_person_1225054,P21,Q6581097
odang_person_7672120,P20,Q220
odang_person_3694522,P19,Q2656
odang_person_8466158,P39,Q18558478
odang_person_7165659,P551,Q220
odang_person_2494196,P19,Q534536
Q47265,label,Palo Alto
Q194223,label,Università di Buenos Aires
Q370936,label,Union Valdôtaine
odang_person_8360900,P106,Q2259451
odang_person_1197437,P1412,Q7411
Q73508128,label,sindaco di Chieti
odang_person_5985517,P106,Q250867
odang_person_8791968,P19,Q13498
odang_person_5971054,P3373,Q8005606
odang_person_8421,P20,Q6259
odang_person_6018971,P106,Q131524
odang_person_7270563,P1412,Q652
odang_person_7164994,P166,Q20966612
odang_person_108180,P20,Q13320
Q533534,label,Cisleitania
odang_person_1197874,P166,Q20966518
odang_person_1306717,P106,Q11774202
odang_person_2335544,P106,Q3014296
odang_person_4778437,P1412,Q9192
odang_person_4778437,P106,Q131524
odang_person_5984301,P19,Q478457
odang_person_6076457,P21,Q6581097
odang_person_7199933,P106,Q33999
odang_person_8462855,P106,Q1930187
odang_person_5978400,P106,Q2405480
odang_person_2402729,P166,Q17365974
odang_person_8381041,P21,Q6581097
odang_person_8464728,P106,Q82955
odang_person_3592187,P106,Q144662
odang_person_2495860,P27,Q38
Q4702270,label,Al Bandari bint Abd al-Aziz Al Sa'ud
odang_person_2409399,P166,Q29017353
odang_person_1401918,P21,Q6581072
odang_person_2400104,P27,Q30
odang_person_7174015,P569,1934
odang_person_5971092,P166,Q29017353
odang_person_7171811,P166,Q32331664
odang_person_6073202,P20,Q220
odang_person_2399365,P27,Q214
odang_person_27117,P106,Q40348
Q3858195,label,Mimma Mondadori
odang_person_4882592,P1412,Q652
odang_person_2906168,P103,Q652
odang_person_8399611,P19,Q220
odang_person_24,P26,Q63208627
odang_person_2927605,P1412,Q652
odang_person_3615906,P39,Q108273509
Q171136,label,Giovanna di Castiglia
Q187549,label,Cavalieri ospitalieri
odang_person_1210919,P27,Q30
odang_person_4778559,P611,Q165005
odang_person_2391516,P6886,Q188
odang_person_104912,P106,Q2032656
odang_person_5977974,P20,Q641
odang_person_4778026,P39,Q268218
odang_person_2391784,P166,Q207826
odang_person_4778871,P106,Q245068
odang_person_49,P166,Q974736
Q279711,label,Venafro
odang_person_2500333,P39,Q50184139
odang_person_8377759,P106,Q36834
odang_person_3629323,P166,Q865039
odang_person_2490,P569,1899
odang_person_537292,P569,1989
Q26648,label,Giovanni Argiropulo
odang_person_2391655,P40,Q612205
odang_person_2499368,P1412,Q652
odang_person_7208392,P937,Q220
Q1789102,label,National Board of Review Award al miglior film
odang_person_1217987,P19,Q490863
odang_person_8749658,P19,Q84
odang_person_7445038,P39,Q74596154
odang_person_8469024,P106,Q1281618
odang_person_110142,P106,Q947873
odang_person_2392284,P106,Q855091
odang_person_7165981,P172,Q484464
odang_person_7276069,P19,Q6624
odang_person_1304606,P106,Q1930187
odang_person_5981151,P1412,Q1860
odang_person_8683156,P19,Q111176
odang_person_8464241,P27,Q38
odang_person_4794842,P39,Q27169
odang_person_5981151,P1412,Q5287
odang_person_3639875,P6886,Q652
odang_person_6064330,P106,Q33231
odang_person_7272805,P22,Q2846309
odang_person_108764,P21,Q6581097
odang_person_6075656,P106,Q2722764
odang_person_1305619,P1412,Q652
Q58905,label,Teano
odang_person_2427882,P106,Q1930187
Q3417215,label,Rafael Bielsa
odang_person_8361502,P106,Q193391
odang_person_6252808,P102,Q47817
odang_person_5977769,P106,Q333634
odang_person_109225,P27,Q38
Q21166956,label,liutista
odang_person_8361506,P3373,Q7415478
odang_person_3596098,P463,Q2426861
odang_person_4887723,P27,Q172579
odang_person_3584776,P551,Q64
Q768999,label,ordine di Vytautas il Grande
odang_person_4862184,P106,Q11481802
odang_person_3418221,P19,Q55954
odang_person_4884162,P39,Q13653224
odang_person_7176670,P106,Q10800557
odang_person_6,P6886,Q499083
Q239081,label,Macrina la Giovane
odang_person_4801710,P102,Q286140
odang_person_5979336,P20,Q84
odang_person_5970863,P937,Q2887
Q682736,label,Ernesto di Sassonia
odang_person_8456544,P1412,Q652
odang_person_5979638,P937,Q220
Q46440,label,Preganziol
odang_person_2410180,P106,Q947873
odang_person_7474344,P569,1967
odang_person_4795403,P106,Q1930187
odang_person_3585486,P39,Q18558478
odang_person_3585487,P937,Q6602
odang_person_1302231,P19,Q2044
odang_person_8467690,P21,Q6581097
odang_person_76461,P27,Q38
odang_person_5971092,P3373,Q3041532
odang_person_2409385,P27,Q38
odang_person_2409399,P166,Q3885264
odang_person_2734666,P106,Q82955
odang_person_8891431,P27,Q172579
odang_person_4788616,P106,Q10798782
Q1165958,label,Dario Mangiarotti
odang_person_8361294,P19,Q331397
Q52089,label,Montevarchi
odang_person_1197470,P166,Q20267072
odang_person_2770758,P1412,Q652
odang_person_4785669,P106,Q36180
odang_person_2780127,P27,Q38
odang_person_3595819,P1412,Q1860
odang_person_4778023,P106,Q508846
odang_person_2398684,P39,Q34153264
Q489260,label,Palazzolo Acreide
odang_person_5084007,P569,1955
odang_person_8368459,P19,Q2044
odang_person_5182202,P21,Q6581097
odang_person_555052,P1412,Q652
odang_person_2392496,P166,Q28663097
odang_person_7165111,P166,Q4710826
odang_person_3593029,P1412,Q7976
odang_person_8367964,P27,Q183
odang_person_120989,P551,Q727
Q3910572,label,Premio Lunezia
odang_person_3606135,P27,Q38
odang_person_5971050,P108,Q372608
odang_person_1304769,P106,Q4009406
odang_person_7119,P21,Q6581072
odang_person_5192479,P106,Q82955
odang_person_6068019,P106,Q937857
odang_person_2391586,P166,Q12177472
odang_person_2500016,P27,Q172579
odang_person_7165301,P3373,Q76365219
odang_person_108,P802,Q11660058
Q414528,label,accademico
odang_person_4777962,P106,Q18939491
odang_person_3585622,P106,Q250867
odang_person_6039921,P1412,Q652
odang_person_538351,P569,1969
odang_person_2770758,P106,Q177220
Q13381572,label,ginnasta artistico
Q3963190,label,Soava Gallone
odang_person_11252,P103,Q652
odang_person_6289665,P166,Q458338
odang_person_3664265,P106,Q937857
odang_person_8727,P19,Q2355438
odang_person_8361017,P106,Q82955
odang_person_102227,P106,Q15296811
odang_person_5980036,P1412,Q25448
odang_person_2391823,P106,Q17524364
odang_person_3585801,P102,Q79854
odang_person_85549,P21,Q6581097
Q302212,label,Pipino il Gobbo
Q3740909,label,Federazione Giovanile Comunista Italiana
Q94093,label,ordine della Corona di quercia
Q5922802,label,Isolde Wagner
odang_person_2392327,P166,Q1662330
Q3893543,label,Paola Comencini
odang_person_3621712,P27,Q38
Q3848886,label,Mario Orfini
odang_person_7271580,P19,Q22191
odang_person_7723928,P19,Q53643
Q7330070,label,ministro degli esteri
odang_person_6030876,P106,Q16323111
odang_person_5971712,P27,Q217196
odang_person_3602961,P106,Q13590141
odang_person_8709032,P569,1991
odang_person_8464938,P19,Q279
Q1649871,label,Regno di Polonia
odang_person_4789970,P106,Q937857
Q75756157,label,Emanuela Maria Alberta Vittoria di Roverbella
odang_person_8372668,P108,Q483959
odang_person_8469892,P27,Q38
odang_person_8790274,P569,1940
odang_person_32112,P39,Q18558478
odang_person_3584857,P6886,Q1860
Q170217,label,Cechi
odang_person_5982251,P20,Q128499
odang_person_7192416,P26,Q691515
odang_person_4789197,P3373,Q231844
Q18754945,label,People's Choice Awards 2015
odang_person_6312444,P21,Q6581097
odang_person_7164994,P39,Q747123
odang_person_8361534,P106,Q169470
odang_person_7165047,P166,Q308907
odang_person_2391587,P108,Q165980
odang_person_5997469,P102,Q1126102
odang_person_2411571,P569,1970
odang_person_8382644,P21,Q6581097
odang_person_1221129,P106,Q10774753
odang_person_7800012,P1412,Q652
odang_person_6418792,P21,Q6581097
odang_person_5977974,P106,Q49757
odang_person_7202666,P19,Q641
odang_person_8369615,P103,Q1860
odang_person_6068019,P21,Q6581097
Q537046,label,Grimoaldo II
odang_person_7734,P40,Q61919383
odang_person_6379027,P569,1997
Q1408,label,New Jersey
odang_person_4778389,P551,Q86768
odang_person_9009430,P106,Q2994387
Q1377755,label,European Film Awards per il miglior regista
odang_person_7164994,P25,Q16354832
odang_person_5188330,P19,Q2634
odang_person_8386958,P569,1963
Q1181695,label,Lansdowne
odang_person_8360957,P569,1854
Q16665736,label,Medaglia della città di Parigi
odang_person_7172969,P166,Q14539726
odang_person_4778090,P3373,Q470641
odang_person_107484,P39,Q1144278
odang_person_3586303,P166,Q207826
odang_person_1204512,P106,Q49757
odang_person_1275134,P103,Q652
odang_person_8361107,P166,Q1750244
odang_person_7172523,P19,Q5092
odang_person_8361781,P6886,Q1860
odang_person_2435530,P106,Q36180
odang_person_5979387,P166,Q4335998
odang_person_7516264,P166,Q13422138
Q2849502,label,Angelo Solimena
odang_person_3584629,P25,Q28790325
odang_person_2798488,P106,Q1930187
odang_person_6407103,P19,Q220
odang_person_1232963,P20,Q490
odang_person_1197766,P26,Q25894869
odang_person_6076457,P1412,Q652
odang_person_1219669,P106,Q1028181
odang_person_7171186,P26,Q153708
odang_person_7300,P106,Q432386
odang_person_5978036,P166,Q29032430
odang_person_5998328,P1412,Q5146
odang_person_2391516,P106,Q1234713
odang_person_5978408,P106,Q4964182
odang_person_7171812,P106,Q36834
odang_person_1197971,P166,Q3885163
odang_person_6072505,P21,Q6581097
odang_person_7198366,P106,Q13386767
Q231457,label,Maria Amalia di Borbone-Napoli
odang_person_4789191,P106,Q1028181
odang_person_8360900,P21,Q6581097
Q832424,label,medaglia Wollaston
odang_person_8445920,P569,1920
odang_person_4798725,P106,Q33999
odang_person_1306701,P21,Q6581097
odang_person_8369615,P106,Q11513337
odang_person_2169,P21,Q6581072
odang_person_3593340,P21,Q6581097
odang_person_4721187,P569,2002
odang_person_3867887,P27,Q38
odang_person_2908488,P569,1967
odang_person_8790274,P27,Q172579
odang_person_1250973,P569,1964
Q2756,label,ACN Siena 1904
odang_person_107823,P27,Q55
Q174224,label,Wilmington
odang_person_1222358,P945,Q1789014
odang_person_1303126,P937,Q220
odang_person_7172744,P1412,Q652
odang_person_8375954,P21,Q6581072
Q766504,label,sottosegretario di Stato
odang_person_7176853,P21,Q6581097
