s,o,entity
odang_person_1198429,P166,Q768505
odang_person_8395364,P19,Q41621
Q610743,label,Contessina de' Medici
odang_person_8387024,P1412,Q652
odang_person_2391553,P40,Q784173
odang_person_5977813,P166,Q6314207
odang_person_3584621,P463,Q560584
odang_person_4795319,P106,Q55960555
Q727282,label,Premio César onorario
odang_person_5419475,P106,Q24037210
odang_person_3606179,P106,Q3282637
odang_person_435,P1412,Q652
odang_person_3584625,P20,Q189288
odang_person_2776,P26,Q60127
Q2410239,label,Filipa Moniz Perestrello
Q1544144,label,Tin Machine
Q78328,label,Berthold Maria Schenk Graf von Stauffenberg
odang_person_5971494,P103,Q1860
odang_person_435,P166,Q3638154
odang_person_5978725,P6886,Q1860
Q11997611,label,ordine della libertà della Repubblica di Slovenia
odang_person_5978725,P21,Q6581097
Q358518,label,cantautore italiano
odang_person_4778023,P1066,Q4943587
odang_person_5986396,P106,Q214917
odang_person_2485439,P20,Q20385
odang_person_4778023,P166,Q1143095
odang_person_4784366,P21,Q6581097
odang_person_7172123,P166,Q206959
odang_person_8469448,P21,Q6581097
odang_person_2494084,P106,Q2526255
odang_person_3584791,P19,Q3661158
Q80919,label,KGB
Q2995361,label,Consulta nazionale
odang_person_8363532,P21,Q6581072
Q8044049,label,Xi Mingze
Q668699,label,Partito Operaio di Unificazione Marxista
odang_person_7270534,P106,Q947873
Q13422140,label,Ufficiale dell'Ordine nazionale al merito francese
odang_person_6081244,P106,Q753110
odang_person_2455,P1412,Q188
odang_person_7165369,P166,Q1526935
Q6759968,label,Margaret Travolta
Q1528327,label,Giuseppe Fiorello
Q15117228,label,cavaliere dell'Ordine del Toson d'oro
odang_person_8361622,P166,Q14539884
odang_person_4795319,P21,Q6581072
odang_person_2398661,P1412,Q150
odang_person_8361772,P166,Q1027904
odang_person_9720,P103,Q652
Q176041,label,Elisabetta di Valois
odang_person_3584641,P40,Q16167328
Q8598,label,Sassuolo
odang_person_2392575,P103,Q1321
odang_person_3593509,P569,1955
odang_person_3609021,P102,Q47729
odang_person_7200101,P39,Q3954360
odang_person_3585316,P937,Q64
Q243228,label,Rocca di Papa
odang_person_2391428,P20,Q2509922
odang_person_5971462,P106,Q1327329
odang_person_5979230,P103,Q1860
odang_person_5059574,P19,Q8621
Q2172237,label,Rudolf-Diesel-Medaille
Q554495,label,Trofeo Bravo
odang_person_2412460,P569,1969
odang_person_1220118,P1412,Q652
odang_person_4795319,P569,1948
Q28229622,label,Movimento Nazionale per la Sovranità
odang_person_2798358,P27,Q38
odang_person_3644009,P21,Q6581097
odang_person_1197973,P26,Q311241
Q12201477,label,Commendatore dell'Ordine dell'Impero Britannico
Q4605238,label,Giuseppe Francesco d'Asburgo-Lorena
odang_person_7176358,P106,Q33999
Q2895300,label,OneVoice Movement
odang_person_84797,P106,Q372436
odang_person_4777965,P20,Q490
odang_person_4778023,P39,Q3052674
odang_person_7165093,P106,Q18814623
odang_person_8361925,P119,Q5056756
odang_person_1198059,P40,Q361636
odang_person_7273145,P21,Q6581097
odang_person_7165799,P1412,Q1321
odang_person_1201891,P166,Q166177
odang_person_1305562,P106,Q55960555
odang_person_2494293,P27,Q38
odang_person_2423987,P569,1965
Q217196,label,Regno di Castiglia e León
odang_person_103,P21,Q6581097
odang_person_3627259,P39,Q27169
Q517,label,Napoleone Bonaparte
odang_person_6031676,P1412,Q652
odang_person_2391553,P40,Q3263398
odang_person_7165369,P106,Q1930187
odang_person_5986396,P39,Q19969187
odang_person_4778023,P1412,Q7979
odang_person_3972227,P106,Q33999
Q15291073,label,Luigi Berlusconi
odang_person_7260372,P569,1966
odang_person_1197973,P106,Q183945
Q3436964,label,Roberto Roberti
odang_person_8387024,P39,Q21767514
odang_person_4790941,P106,Q6625963
odang_person_8361289,P106,Q2526255
odang_person_7267483,P106,Q33999
odang_person_5305938,P39,Q796897
Q161885,label,Regno di Gran Bretagna
Q106180226,label,Emi De Sica
odang_person_4777859,P108,Q31519
Q3852837,label,Mauro Graiani
Q850170,label,ricompensa al valor militare
odang_person_8372572,P25,Q4964345
odang_person_7243862,P21,Q6581097
odang_person_9334,P40,Q546620
odang_person_1211685,P106,Q2526255
Q40832,label,Vigevano
odang_person_8898,P106,Q10800557
odang_person_2425743,P106,Q36180
odang_person_3584621,P166,Q1300431
odang_person_4790941,P1412,Q1860
Q194540,label,medaglia del giubileo di diamante di Elisabetta II
odang_person_1197390,P106,Q36834
odang_person_24948,P166,Q16581280
odang_person_3584791,P802,Q269130
odang_person_4778785,P40,Q1681970
Q1218,label,Gerusalemme
odang_person_5984384,P106,Q937857
Q62,label,San Francisco
odang_person_5971032,P26,Q2942199
odang_person_5970904,P106,Q806349
odang_person_2391689,P22,Q301282
odang_person_105075,P27,Q38
odang_person_7168729,P106,Q11569986
Q12177470,label,Cavaliere Commendatore dell'Ordine del Bagno
odang_person_3609490,P39,Q37991547
odang_person_4778921,P166,Q10905276
odang_person_2425743,P106,Q55960555
odang_person_8360933,P106,Q2526255
odang_person_2391475,P463,Q668699
odang_person_8372530,P39,Q611644
Q2945648,label,La Casona
odang_person_3686443,P27,Q38
Q2861641,label,Arlette Langmann
odang_person_4788794,P106,Q2259451
odang_person_2465372,P166,Q52896120
odang_person_7165335,P166,Q2452975
odang_person_2391475,P106,Q164236
odang_person_1257647,P166,Q3885169
Q2452975,label,ordine del liberatore
odang_person_7168729,P103,Q7737
odang_person_2391553,P103,Q150
odang_person_7273149,P1412,Q652
odang_person_1200047,P3373,Q209502
odang_person_1300464,P106,Q28389
odang_person_8361772,P166,Q16985318
odang_person_5984384,P106,Q628099
odang_person_7168729,P463,Q270920
odang_person_8361149,P106,Q8246794
odang_person_8369215,P27,Q38
odang_person_7172744,P106,Q36180
odang_person_2391428,P937,Q38
