s,o,entity
Q1342777,label,ordine nazionale al merito
odang_person_8373851,P569,1887
odang_person_7249356,P27,Q21
odang_person_7249356,P1412,Q1860
odang_person_5982139,P106,Q753110
odang_person_3584791,P21,Q6581097
odang_person_8469206,P21,Q6581072
Q553958,label,Carlo Caracciolo
odang_person_8368324,P26,Q1250275
Q259463,label,VII arrondissement di Parigi
Q51136321,label,Laura Bovoli
odang_person_110570,P106,Q1930187
odang_person_4778023,P166,Q976544
odang_person_8361107,P106,Q5436768
odang_person_8372029,P53,Q170022
odang_person_7168729,P119,Q208260
odang_person_7164960,P39,Q646040
odang_person_8361149,P463,Q337224
odang_person_2429007,P103,Q652
odang_person_4777859,P551,Q1309294
odang_person_4778076,P3373,Q2050307
odang_person_1197390,P22,Q97068316
odang_person_1306862,P3373,Q18942442
odang_person_1298529,P569,1972
odang_person_4810605,P106,Q33999
Q1284248,label,Cornificia
odang_person_3602961,P21,Q6581097
odang_person_5971849,P1038,Q320738
odang_person_4777859,P802,Q87554
odang_person_7165981,P3373,Q385795
odang_person_7165335,P166,Q1857021
odang_person_7300,P6886,Q397
odang_person_8369215,P166,Q14539720
Q7890793,label,aviatore di marina statunitense
odang_person_3695180,P106,Q947873
odang_person_5992109,P27,Q38
odang_person_8377433,P106,Q1930187
odang_person_2397487,P6886,Q1860
odang_person_2406777,P106,Q855091
odang_person_8361149,P166,Q1535117
odang_person_2392575,P569,1962
odang_person_4785694,P106,Q4991371
odang_person_7164998,P106,Q81096
Q128649,label,David di Donatello per il miglior attore protagonista
odang_person_6073564,P106,Q2722764
odang_person_1198059,P39,Q43459871
odang_person_103,P40,Q22443752
odang_person_8372029,P20,Q191739
odang_person_2391436,P166,Q1109489
Q13655473,label,senatore del Regno d'Italia
Q81786,label,Vallo della Lucania
Q49237,label,papa Leone X
Q1150306,label,Disney Legends
odang_person_2391689,P3373,Q104837702
odang_person_7165975,P166,Q2089918
odang_person_3609490,P6886,Q652
Q317894,label,Galeazzo Maria Sforza
odang_person_3669468,P103,Q652
odang_person_7249356,P106,Q33999
odang_person_7767547,P21,Q6581097
odang_person_5978238,P937,Q2044
Q268979,label,Isabella Colbran
odang_person_7164998,P166,Q5365910
odang_person_7260372,P106,Q10800557
odang_person_7260372,P106,Q245068
odang_person_8441469,P27,Q38
odang_person_7200101,P102,Q18712604
odang_person_3609021,P106,Q3400985
odang_person_4778076,P25,Q15291074
odang_person_5971244,P53,Q672317
odang_person_4785694,P39,Q20058666
odang_person_2484487,P103,Q7976
odang_person_8372029,P25,Q1113645
odang_person_7204324,P106,Q2259451
odang_person_2398661,P166,Q6496394
odang_person_8361289,P166,Q777921
odang_person_8368459,P569,1377
odang_person_8372530,P39,Q1144278
Q4175282,label,Alfred Kleiner
Q61,label,Washington
odang_person_2391689,P39,Q553169
odang_person_2412682,P106,Q28389
odang_person_7165071,P22,Q1056171
Q18939491,label,diarista
odang_person_7164969,P22,Q371916
odang_person_1205662,P106,Q177220
odang_person_5971849,P106,Q33999
odang_person_4784643,P26,Q76448205
odang_person_1305074,P27,Q38
Q23047420,label,Maria Sole Agnelli
Q60579,label,Moritz Hermann von Jacobi
odang_person_8468861,P19,Q490
odang_person_7164998,P184,Q96087973
odang_person_7165799,P166,Q3386864
odang_person_4883537,P106,Q21771805
odang_person_2776,P26,Q559339
odang_person_31418,P19,Q43421
odang_person_5999156,P19,Q269503
odang_person_4887670,P106,Q33999
Q118404,label,Premio fratelli Scholl
odang_person_4785694,P119,Q1547160
Q106180552,label,Elmo De Sica
odang_person_7165369,P106,Q14467526
odang_person_5971849,P166,Q1061238
odang_person_8754342,P27,Q38
odang_person_3584625,P3373,Q6205446
odang_person_8369830,P106,Q947873
odang_person_4785694,P937,Q1647
Q7031,label,Luca Signorelli
odang_person_1206897,P21,Q6581097
odang_person_21584,P27,Q38
odang_person_7164960,P166,Q680248
odang_person_8361149,P1412,Q5146
Q20650523,label,brigante
odang_person_5997709,P27,Q38
Q1645150,label,ordine di Skanderbeg
odang_person_3584621,P166,Q25755314
Q11415564,label,dottore honoris causa
odang_person_2411571,P1412,Q652
Q224300,label,Poggio Bustone
odang_person_4862184,P1412,Q652
odang_person_110570,P569,1930
odang_person_3585484,P569,1975
odang_person_3584791,P1066,Q434726
odang_person_8395364,P106,Q1930187
odang_person_7165335,P19,Q99950
Q2268261,label,ordine d'onore
odang_person_7165093,P166,Q18379561
odang_person_5970904,P106,Q10800557
odang_person_8958,P106,Q177220
odang_person_3609490,P119,Q1187723
odang_person_7165335,P166,Q506369
odang_person_3591787,P106,Q82955
odang_person_1197390,P166,Q428808
odang_person_8366173,P569,1575
odang_person_8466161,P21,Q6581097
Q7411,label,olandese
odang_person_8464018,P27,Q38
odang_person_3585484,P102,Q47729
odang_person_8361772,P569,1991
odang_person_2698508,P569,1982
odang_person_3584621,P108,Q26882567
odang_person_5970876,P19,Q60135106
odang_person_8368324,P103,Q652
odang_person_8363309,P551,Q42942
odang_person_3585316,P463,Q44687
odang_person_7165093,P106,Q41583
odang_person_3692147,P27,Q38
odang_person_4778023,P39,Q34517851
odang_person_4778023,P166,Q2803223
Q826561,label,Halifax
odang_person_8438006,P21,Q6581097
odang_person_2412682,P551,Q220
odang_person_4777859,P463,Q543804
odang_person_2465372,P19,Q593628
odang_person_5971769,P21,Q6581072
Q9212,label,United States Army
odang_person_5984384,P551,Q6761
odang_person_1231777,P40,Q18519506
Q69995,label,Sorengo
odang_person_8361622,P106,Q40348
odang_person_7176041,P26,Q3814016
Q96895980,label,laureati honoris causa dell'Università degli Studi di Macerata
Q79889,label,Casa Grande
odang_person_4778023,P166,Q15279677
odang_person_8361107,P25,Q56166583
odang_person_7164960,P3373,Q66225
odang_person_2391553,P1412,Q150
odang_person_8370013,P40,Q3697725
odang_person_8378457,P19,Q220
odang_person_3585316,P166,Q667167
odang_person_3584621,P53,Q27973987
odang_person_7165071,P40,Q452379
odang_person_8854,P19,Q13134
odang_person_1306862,P463,Q3091708
odang_person_7164960,P1038,Q22132150
odang_person_7273145,P106,Q10800557
odang_person_8958,P551,Q490
odang_person_5978725,P1412,Q1860
odang_person_8363532,P551,Q3447062
odang_person_4789603,P106,Q183945
odang_person_1306862,P103,Q652
odang_person_2397487,P106,Q183945
Q16167328,label,Tito Aurelio Fulvo Antonino
odang_person_3590488,P569,1978
odang_person_2698508,P27,Q38
odang_person_7767547,P1412,Q652
odang_person_1207330,P569,1943
odang_person_7165093,P166,Q83784650
odang_person_8360933,P569,1940
odang_person_8399417,P937,Q188031
odang_person_8360988,P20,Q2044
Q2544851,label,Independent Spirit Award per la miglior attrice protagonista
Q328209,label,medaglia di lungo servizio nel NSDAP
odang_person_7165093,P166,Q56239664
Q154920,label,"Edoardo, conte di Wessex"
odang_person_3593635,P19,Q65
odang_person_6015937,P106,Q19934710
odang_person_7165335,P166,Q1019203
Q21,label,Inghilterra
odang_person_1199479,P21,Q6581097
Q1336488,label,Movimento Quinta Repubblica
odang_person_7566309,P27,Q170174
odang_person_1197973,P166,Q1044427
odang_person_110142,P569,1976
odang_person_4778023,P166,Q11997611
Q233922,label,Jennifer Esposito
Q462562,label,Lil Hardin Armstrong
odang_person_3609490,P103,Q652
odang_person_8373851,P27,Q38
odang_person_8375549,P106,Q28389
Q510041,label,Porziuncola
odang_person_4777859,P106,Q901
odang_person_6004907,P166,Q1419495
odang_person_7243862,P40,Q514695
odang_person_3584625,P3373,Q96089298
odang_person_8361772,P106,Q183945
odang_person_8370013,P26,Q263621
odang_person_16132,P1412,Q652
odang_person_3926006,P27,Q222
odang_person_60180,P106,Q10798782
odang_person_2499676,P551,Q490
odang_person_1306862,P1038,Q18921198
odang_person_7172357,P40,Q165971
odang_person_2392575,P39,Q11942698
odang_person_5978725,P19,Q3477020
odang_person_3688389,P569,1945
odang_person_5971462,P106,Q17502714
odang_person_8361772,P166,Q31155
odang_person_7176358,P1412,Q150
odang_person_4862184,P106,Q33999
odang_person_7165544,P40,Q69307605
odang_person_3690721,P19,Q220
odang_person_3691509,P569,1423
odang_person_2404775,P27,Q38
Q81096,label,ingegnere
odang_person_110470,P106,Q177220
Q1061238,label,Nastro d'argento al regista del miglior film
odang_person_5979230,P19,Q810794
odang_person_4790941,P106,Q36180
odang_person_3584673,P1412,Q1860
odang_person_8408524,P21,Q6581097
odang_person_6080695,P106,Q753110
odang_person_5971849,P166,Q305457
odang_person_7165799,P166,Q15280177
odang_person_3584791,P166,Q112457
odang_person_4887670,P19,Q71832
odang_person_2391475,P106,Q49757
odang_person_7176847,P569,1986
odang_person_3690721,P27,Q38
Q72732,label,Vico Equense
odang_person_2484487,P40,Q62938826
odang_person_4784366,P937,Q13369
odang_person_4122200,P27,Q38
odang_person_7200101,P937,Q239
odang_person_1198059,P19,Q5776
Q187998,label,Cesare Borgia
odang_person_5978238,P106,Q11774202
odang_person_7165335,P1412,Q150
odang_person_1200047,P40,Q75384812
odang_person_110142,P21,Q6581072
odang_person_7270534,P21,Q6581097
Q3189635,label,Julien Rassam
odang_person_5997709,P106,Q753110
odang_person_7168729,P106,Q14623005
odang_person_4815521,P26,Q694799
odang_person_2494444,P106,Q33999
odang_person_103,P1412,Q1860
odang_person_3585621,P166,Q3910489
odang_person_2423987,P21,Q6581097
Q1065,label,Organizzazione delle Nazioni Unite
odang_person_8361622,P27,Q38
odang_person_6369853,P27,Q38
odang_person_9703,P106,Q488205
odang_person_7165975,P166,Q463085
odang_person_2397028,P166,Q3910489
Q15958642,label,scrittore politico
odang_person_2391689,P19,Q956
odang_person_106474,P27,Q38
odang_person_4785694,P40,Q3756786
odang_person_7165958,P1038,Q3944359
Q2612174,label,ordine del Niger
Q3853523,label,medaglia al valore aeronautico
odang_person_3584621,P551,Q519157
odang_person_8395159,P106,Q36180
odang_person_4777856,P106,Q12144794
Q164866,label,Partito Nazionalsocialista per la Libertà
odang_person_5970876,P166,Q12201526
odang_person_8854,P569,1922
odang_person_110470,P21,Q6581097
odang_person_7165093,P166,Q16683283
odang_person_435,P106,Q36834
odang_person_1257647,P1412,Q652
Q4925346,label,Beatrice di Borbone-Due Sicilie
odang_person_8375906,P1412,Q256
odang_person_2776,P25,Q1748664
Q188190,label,Palazzo dell'Eliseo
odang_person_1792026,P106,Q488205
odang_person_6004907,P40,Q55270918
odang_person_7165335,P102,Q2376126
Q13369,label,Rimini
odang_person_5971756,P103,Q652
odang_person_5985001,P106,Q36180
Q3501317,label,stilista
odang_person_7164960,P937,Q163181
odang_person_8378457,P106,Q488205
odang_person_8361107,P166,Q621867
odang_person_4815521,P103,Q652
odang_person_4778023,P166,Q2206209
odang_person_3585621,P27,Q38
odang_person_4778076,P40,Q3634593
odang_person_7168729,P551,Q649
odang_person_3627259,P102,Q47729
odang_person_4778921,P106,Q42973
odang_person_4862184,P20,Q220
Q31155,label,MTV Europe Music Award alla miglior canzone
odang_person_6073564,P569,1971
Q156659,label,Francesco Carlo d'Asburgo-Lorena
odang_person_8447142,P569,1201
odang_person_8392186,P27,Q38
odang_person_4777859,P463,Q270794
odang_person_4777965,P39,Q13655473
Q27991508,label,ministro dello sviluppo economico della Repubblica Italiana
odang_person_3591787,P3373,Q112104
odang_person_363,P463,Q463303
odang_person_2397028,P27,Q38
odang_person_8958,P1412,Q652
Q18921193,label,Marisa Chiazzese
odang_person_4784643,P166,Q61669648
odang_person_8453359,P19,Q490
Q10497074,label,ingegnere aerospaziale
odang_person_4778457,P569,1967
odang_person_60180,P106,Q2259451
odang_person_4778076,P166,Q20894507
odang_person_7176358,P119,Q2482942
odang_person_1305563,P569,1969
Q2166029,label,Académie royale de langue et de littérature françaises de Belgique
Q269130,label,Marietta Alboni
odang_person_1197390,P551,Q597
odang_person_3864910,P106,Q82955
odang_person_7182662,P19,Q340757
Q18712604,label,Noi con Salvini
Q11338576,label,pugile
odang_person_5978680,P106,Q10798782
odang_person_2391428,P27,Q148540
Q2509381,label,Valli Kafka
Q164504,label,Maria Teresa di Borbone-Napoli
Q1651392,label,Antichi Romani
odang_person_7164960,P106,Q82955
Q179248,label,albanesi
Q40588,label,Somma Lombardo
odang_person_7165544,P166,Q215248
odang_person_5163937,P21,Q6581072
odang_person_7165958,P19,Q1449
odang_person_7172311,P40,Q13897753
odang_person_7165981,P19,Q18808
odang_person_3926006,P27,Q38
odang_person_14158,P1412,Q652
Q822146,label,paroliere
odang_person_7198259,P21,Q6581097
odang_person_4784643,P463,Q151012
odang_person_4778457,P166,Q9680541
odang_person_7166286,P19,Q1903
odang_person_2499676,P1412,Q652
Q2526255,label,regista cinematografico
Q7541856,label,ceramista
odang_person_5057156,P21,Q6581097
odang_person_5970904,P172,Q49085
odang_person_1197939,P39,Q58631963
odang_person_5978680,P26,Q5478613
odang_person_7164969,P106,Q193391
odang_person_5984384,P19,Q6761
odang_person_8370077,P27,Q38
odang_person_7172856,P937,Q220
odang_person_7165093,P108,Q80919
Q2566598,label,religioso cristiano
odang_person_8408524,P1412,Q652
odang_person_8377433,P937,Q220
odang_person_2392575,P106,Q829020
odang_person_7164998,P166,Q5020532
Q2044044,label,Squadra dell'anno della PFA
odang_person_8361289,P103,Q652
odang_person_3585316,P102,Q164866
odang_person_8958,P1412,Q1860
odang_person_8399417,P21,Q6581097
Q1367988,label,Grammy Award al miglior album rap
odang_person_8372572,P106,Q7042855
odang_person_2798358,P106,Q2722764
odang_person_7176041,P27,Q172579
odang_person_6386200,P21,Q6581097
odang_person_3584621,P166,Q152337
odang_person_6277339,P21,Q6581097
Q37226,label,docente
odang_person_2391689,P166,Q51889745
odang_person_7165093,P39,Q38715304
odang_person_1207351,P21,Q6581072
Q96146709,label,Louis Armstrong & His Orchestra
Q2958307,label,Charles-René de Bombelles
odang_person_7164969,P103,Q652
odang_person_3688389,P106,Q177220
Q3876089,label,Domenico Naldini
odang_person_17840,P19,Q224300
odang_person_7165093,P166,Q87781585
odang_person_84797,P463,Q2986712
odang_person_6076687,P27,Q38
odang_person_4782803,P569,1938
Q210172,label,Kevin Jonas
odang_person_5981927,P27,Q38
Q1399663,label,ordine della Stella del Ghana
odang_person_8867,P106,Q486748
odang_person_1198059,P40,Q11727237
odang_person_3609021,P1412,Q1860
odang_person_1220495,P22,Q86918643
odang_person_7164960,P166,Q207826
odang_person_16132,P19,Q2044
odang_person_4784643,P106,Q486748
odang_person_7165093,P39,Q38715852
odang_person_4789603,P166,Q3870550
odang_person_1259314,P569,1938
odang_person_1231777,P27,Q38
Q3721646,label,"ministro dell'istruzione, dell'università e della ricerca della Repubblica Italiana"
odang_person_8371231,P19,Q50157
Q1938714,label,chiesa di San Pietro ad Vincula
Q112257,label,ordine nazionale del Niger
odang_person_4783641,P106,Q2259532
odang_person_8395038,P1412,Q652
odang_person_5970876,P1038,Q278766
Q2206209,label,ordine del Cuore d'oro
odang_person_8392033,P27,Q30
odang_person_4777859,P40,Q118253
odang_person_7168729,P106,Q644687
Q1179963,label,Joyce Lussu
odang_person_1200047,P2632,Q62378
odang_person_7184961,P106,Q3482594
odang_person_2499676,P1412,Q1860
Q4613831,label,Franziska Braun
Q36834,label,compositore
odang_person_9009,P1412,Q652
odang_person_5986396,P103,Q652
odang_person_11566,P20,Q111942
odang_person_5990167,P106,Q1662561
odang_person_1201891,P106,Q628099
Q29860422,label,Estelle Macron
odang_person_1586562,P27,Q145
odang_person_7165958,P166,Q3870549
odang_person_1201891,P21,Q6581097
odang_person_3585621,P106,Q3282637
Q299663,label,Piero il Gottoso
odang_person_2501569,P106,Q864380
odang_person_4777859,P166,Q25287226
odang_person_7165369,P166,Q978420
odang_person_5999156,P26,Q3723865
odang_person_1305580,P106,Q1930187
odang_person_7182662,P21,Q6581097
Q201428,label,Castello di Fontainebleau
odang_person_5971494,P27,Q30
odang_person_4887694,P1412,Q652
odang_person_5978680,P106,Q2259451
Q54825571,label,Jolanda Ottino
odang_person_6080888,P166,Q10905334
odang_person_103,P166,Q3833781
odang_person_1197939,P25,Q171136
odang_person_1200047,P119,Q1938714
odang_person_1220495,P106,Q10800557
Q423,label,Corea del Nord
odang_person_4778457,P40,Q18017717
Q982694,label,Fiorello
odang_person_7176358,P166,Q900360
Q14864448,label,Kim Ju-ae
odang_person_8363532,P106,Q2259451
odang_person_4785694,P102,Q1427066
odang_person_7300,P569,1452
odang_person_7165958,P21,Q6581097
Q1808491,label,Trofeo Alfredo Di Stéfano
odang_person_7270534,P19,Q490
odang_person_35848,P27,Q38
odang_person_8465908,P22,Q3632526
odang_person_3606179,P19,Q220
odang_person_8379218,P166,Q785002
odang_person_7164998,P166,Q980090
Q2050307,label,Paolo Berlusconi
odang_person_8392033,P3373,Q284011
odang_person_8441469,P19,Q52133
Q44687,label,SS
odang_person_7165708,P108,Q740308
odang_person_3584641,P3373,Q1284248
odang_person_4777965,P102,Q2949884
odang_person_7273145,P22,Q3734393
odang_person_2392575,P21,Q6581097
Q942842,label,Smíchov
odang_person_8464018,P106,Q805221
odang_person_5970876,P106,Q177220
odang_person_3691509,P119,Q51177
Q1019203,label,ordine di Lāčplēsis
odang_person_5182202,P569,1958
Q10729326,label,pirata
odang_person_8466161,P463,Q3738873
odang_person_4815521,P102,Q590750
odang_person_4778023,P1412,Q1860
odang_person_7164960,P102,Q631205
Q570683,label,Gallone d'onore della vecchia guardia
Q889842,label,Premio Bodil
odang_person_2412682,P106,Q488205
odang_person_3627259,P21,Q6581097
odang_person_8360988,P119,Q2778991
odang_person_5971494,P166,Q6837811
odang_person_5978238,P20,Q2634
Q1895832,label,Maria Elisabetta d'Asburgo-Lorena
odang_person_4777859,P108,Q819187
odang_person_1220118,P166,Q1059569
odang_person_3584673,P106,Q855091
Q9474,label,Moncalieri
odang_person_4812364,P551,Q220
Q264969,label,Georgia Moffett
odang_person_4885616,P19,Q495
odang_person_3689444,P1412,Q652
Q187696,label,Vimercate
odang_person_3585482,P3373,Q435955
odang_person_7165093,P166,Q63091960
odang_person_2391436,P25,Q21179311
odang_person_1231562,P27,Q38
Q3870666,label,Natalie Guetta
odang_person_2405833,P106,Q488205
odang_person_7165093,P1412,Q7737
odang_person_3584641,P21,Q6581097
odang_person_2985829,P27,Q38
odang_person_7270534,P106,Q130857
odang_person_2403295,P166,Q206959
odang_person_102155,P20,Q220
odang_person_8361107,P166,Q2009646
Q2055046,label,fisiologo
Q478741,label,Paternò
odang_person_5970876,P551,Q24826
odang_person_8366173,P937,Q1449
odang_person_8361107,P166,Q729513
odang_person_2455,P6886,Q397
Q299842,label,Antonia Kidman
odang_person_2391428,P106,Q49757
Q913241,label,Jacopo Salviati
odang_person_1197939,P106,Q116
odang_person_6031676,P19,Q3642
odang_person_6277339,P1412,Q652
Q2982766,label,Julia Lennon
Q6252,label,Monza
odang_person_8361328,P166,Q96374988
odang_person_1259314,P26,Q3849940
odang_person_2392575,P166,Q1991972
odang_person_2412460,P27,Q38
odang_person_8465106,P1412,Q652
odang_person_7184517,P27,Q145
odang_person_3585484,P39,Q15309742
odang_person_1220118,P569,1948
odang_person_1207351,P6886,Q652
odang_person_1197450,P166,Q857933
odang_person_4777856,P569,1883
odang_person_4777943,P569,1452
odang_person_4816274,P27,Q38
Q3845525,label,Marcello Adriani
odang_person_7182662,P166,Q206959
Q1622272,label,professore universitario
odang_person_7165335,P937,Q220
Q67540901,label,Maria Giulia Bartolocci
Q62085,label,Joachim Sauer
Q518023,label,Nesli
odang_person_8366173,P937,Q2634
odang_person_5349918,P1412,Q652
odang_person_2455,P463,Q2822396
odang_person_1197390,P40,Q24856246
odang_person_7164998,P166,Q6486246
odang_person_7176358,P106,Q10800557
odang_person_2411571,P106,Q40348
odang_person_7597930,P106,Q488205
odang_person_3584791,P27,Q172579
odang_person_4812364,P569,1950
odang_person_8898,P26,Q330633
Q2642280,label,ordine di Heydər Əliyev
odang_person_9703,P19,Q220
odang_person_7165093,P463,Q4397946
odang_person_5971032,P1412,Q150
odang_person_5999156,P3373,Q3833085
odang_person_1210952,P3373,Q16501177
odang_person_4778023,P463,Q123885
odang_person_8361107,P166,Q20888805
odang_person_6031676,P569,1948
odang_person_7177936,P21,Q6581097
Q15291085,label,Maria Antonietta Berlusconi
odang_person_7273639,P106,Q947873
odang_person_4887694,P106,Q33999
odang_person_2391475,P1412,Q1860
odang_person_7172856,P19,Q5968
odang_person_4812007,P106,Q3282637
odang_person_7165799,P25,Q107526145
odang_person_1198059,P106,Q220098
odang_person_1197450,P106,Q486748
odang_person_1305563,P106,Q2722764
odang_person_1197450,P27,Q16
odang_person_7171186,P106,Q4610556
odang_person_7177936,P119,Q1187723
odang_person_6075031,P569,1973
odang_person_8465106,P106,Q1298794
odang_person_4778921,P25,Q41623239
odang_person_2391689,P463,Q197542
odang_person_6075031,P19,Q8621
odang_person_4786799,P1412,Q397
Q19211,label,Assemblea nazionale del popolo
odang_person_5157704,P1412,Q652
odang_person_8361622,P106,Q12377274
odang_person_8361328,P27,Q38
Q1636955,label,Nastro d'argento
odang_person_363,P166,Q1366018
odang_person_4786799,P25,Q236999
odang_person_4778023,P166,Q6052096
odang_person_4778023,P166,Q93963
odang_person_2411571,P39,Q18558478
odang_person_2455,P108,Q152087
Q347133,label,George Boleyn
Q189430,label,questore
odang_person_5971244,P463,Q1506757
odang_person_3593635,P569,1982
odang_person_2496453,P106,Q49757
odang_person_3627259,P103,Q652
odang_person_5057156,P19,Q20413
odang_person_2391689,P166,Q3885143
odang_person_8463686,P569,1968
odang_person_5971755,P172,Q50001
odang_person_7165958,P26,Q539582
odang_person_2500854,P21,Q6581097
odang_person_3616747,P166,Q2454427
Q33845,label,lingua napoletana
odang_person_6072732,P106,Q4594605
odang_person_7267897,P569,1963
Q738214,label,Basilica di San Lorenzo fuori le mura
odang_person_1298529,P106,Q947873
odang_person_7165335,P3373,Q3048420
Q1225624,label,Gianni Letta
odang_person_7273032,P21,Q6581097
Q33205128,label,ministro delle corporazioni del Regno d'Italia
odang_person_1645937,P27,Q38
odang_person_8463686,P19,Q220
odang_person_8408524,P106,Q937857
odang_person_2392044,P26,Q583186
odang_person_2492604,P106,Q36180
odang_person_2391428,P106,Q333634
odang_person_1198429,P19,Q243467
odang_person_2437529,P1412,Q652
odang_person_1197390,P166,Q4992254
odang_person_3627259,P102,Q1294923
odang_person_5328816,P569,1999
odang_person_7165093,P166,Q32310
odang_person_60180,P1412,Q652
odang_person_2391436,P166,Q530124
odang_person_7175682,P106,Q33999
odang_person_2408590,P172,Q179248
odang_person_7165093,P166,Q2390786
odang_person_2776,P20,Q2044
odang_person_2496453,P569,1852
odang_person_3584673,P166,Q326482
odang_person_1197390,P106,Q177220
Q987080,label,cittadinanza onoraria
odang_person_4784366,P1038,Q7031
odang_person_3584641,P40,Q3655950
Q12362622,label,filantropo
odang_person_363,P22,Q12605967
odang_person_6056358,P569,1960
odang_person_5971769,P551,Q220
odang_person_8371231,P108,Q740308
odang_person_7165369,P20,Q220
odang_person_2403295,P21,Q6581097
Q2794660,label,ordine di Salomone
Q2394112,label,Targa Tenco
odang_person_7165799,P3373,Q3041532
odang_person_7204324,P21,Q6581097
odang_person_1306862,P166,Q104170787
odang_person_8465106,P106,Q11481802
Q130857,label,disc jockey
Q663005,label,Premio Nansen per i Rifugiati
odang_person_7172744,P20,Q913109
odang_person_5419475,P21,Q6581072
odang_person_3691509,P21,Q6581097
odang_person_8408524,P106,Q628099
odang_person_2391553,P3373,Q296555
Q223313,label,BRIT Award
Q262212,label,Piero il Fatuo
odang_person_2494084,P27,Q38
odang_person_363,P40,Q2983236
odang_person_1231777,P569,1957
Q17535638,label,Blickling Hall
odang_person_4785694,P20,Q104619
odang_person_8361017,P1066,Q207390
odang_person_7172744,P1066,Q192374
odang_person_363,P22,Q28941300
odang_person_5984483,P25,Q2738923
Q679986,label,Isabella di Valois
odang_person_4882329,P20,Q1501084
odang_person_7165049,P106,Q2252262
odang_person_7165093,P39,Q4109060
Q84571838,label,Leo Gassmann
odang_person_44110,P106,Q947873
odang_person_3864910,P1412,Q652
odang_person_1205352,P463,Q134233
odang_person_4789603,P21,Q6581097
odang_person_7165799,P26,Q466662
odang_person_8366173,P119,Q862602
Q76302,label,Giuseppina Strepponi
Q437455,label,Ambra Angiolini
odang_person_8465908,P1412,Q652
odang_person_9703,P106,Q55960555
odang_person_3584625,P106,Q36180
Q138518,label,Princeton
Q3311304,label,Michele Puccini
Q2338066,label,ordine dell'indipendenza
odang_person_1210952,P22,Q1798074
Q2917173,label,Tamar
odang_person_7184961,P106,Q5716684
odang_person_7165093,P166,Q23009376
odang_person_4778076,P102,Q215350
odang_person_8363532,P551,Q3447132
odang_person_5970876,P106,Q183945
odang_person_7164969,P106,Q901
odang_person_1306862,P166,Q2085100
odang_person_8368459,P20,Q220
Q166177,label,Pallone d'oro
odang_person_2494444,P19,Q2656
odang_person_7183231,P1412,Q652
Q15851280,label,Totto Machiavelli
odang_person_5984483,P22,Q453300
odang_person_3585316,P463,Q156652
odang_person_3584621,P166,Q41974970
odang_person_2392575,P166,Q185493
odang_person_3602961,P27,Q38
odang_person_4778023,P39,Q26869646
odang_person_3585484,P937,Q2044
odang_person_3607620,P569,1991
odang_person_4778872,P19,Q220
odang_person_5999156,P27,Q38
odang_person_1220118,P102,Q14924303
odang_person_2492694,P27,Q38
Q159369,label,Arcadio
Q378756,label,Bernabò Visconti
odang_person_8378457,P106,Q55960555
odang_person_2471906,P19,Q220
Q20056508,label,senatore romano
odang_person_1211685,P20,Q127856
odang_person_1220118,P19,Q51239
odang_person_1197973,P172,Q49085
odang_person_5986396,P40,Q3941319
odang_person_1561583,P103,Q652
odang_person_7176041,P551,Q13134
odang_person_4777859,P184,Q4175282
odang_person_1207330,P106,Q897317
odang_person_3585316,P39,Q17856046
odang_person_3584621,P551,Q2079
Q4797740,label,"Arthur ""T-Boy"" Ross"
odang_person_3602961,P106,Q1327329
odang_person_11566,P106,Q39631
Q3295156,label,Premio Jawaharlal Nehru
odang_person_1304411,P21,Q6581072
odang_person_102155,P1412,Q652
odang_person_7165335,P166,Q571774
odang_person_6080695,P40,Q3609691
Q3064032,label,favolista
odang_person_8465787,P21,Q6581097
Q134309,label,Carlo IX di Francia
odang_person_7200101,P39,Q4011164
odang_person_8361017,P26,Q11857623
Q28861961,label,Gran Cruz de la Orden del Mérito Civil
odang_person_2455,P27,Q27306
odang_person_4816274,P106,Q33999
odang_person_8399417,P106,Q5716684
odang_person_5992454,P27,Q38
odang_person_7165799,P3373,Q360346
odang_person_2391475,P106,Q28389
odang_person_5988533,P19,Q4656
odang_person_5992109,P106,Q245068
Q219477,label,missionario
odang_person_4778457,P106,Q4610556
odang_person_2391553,P26,Q152549
Q3439798,label,re di Francia e di Navarra
odang_person_7177936,P569,1925
odang_person_7200074,P569,1943
odang_person_4883348,P106,Q1930187
odang_person_7172123,P26,Q21075642
odang_person_7168729,P937,Q1384
Q81275280,label,Franco Ciani
odang_person_8361925,P106,Q10732476
odang_person_5990167,P21,Q6581097
Q332711,label,presidente della Repubblica Italiana
odang_person_2391428,P19,Q2044
odang_person_3864910,P102,Q47729
odang_person_8379218,P106,Q177220
odang_person_7184517,P19,Q950200
odang_person_8370822,P569,1945
Q5112102,label,Christopher Ciccone
odang_person_8387024,P39,Q20058666
odang_person_3585316,P166,Q23773332
odang_person_4778076,P22,Q15291073
Q243467,label,Subiaco
odang_person_5979230,P106,Q948329
Q131128,label,Braunau am Inn
Q47125,label,Avezzano
odang_person_8405606,P463,Q4006131
odang_person_8361107,P166,Q2044044
odang_person_4782803,P166,Q3870555
odang_person_2397487,P106,Q486748
odang_person_1205662,P21,Q6581097
Q25106,label,Fabrizio De André
odang_person_2985829,P106,Q2252262
odang_person_6019064,P1412,Q652
odang_person_3593635,P106,Q3282637
odang_person_5988533,P21,Q6581097
odang_person_108324,P27,Q38
