id,mention,wp_title,ratio
Q102006042,De Donno...,Giuliana De Donno,0.5714285714285714
Q3886144,De Donno...,Oronzio De Donno,0.5925925925925926
Q1065148,De Donno...,Leoluca Bagarella,0.14285714285714285
Q67848435,De Donno...,Leonardo Donno,0.56
Q312302,De Donno...,Paolo Borsellino,0.2222222222222222
Q3561279,De Donno...,Vito Ciancimino,0.3076923076923077
Q103598,Montagnier,Luc Montagnier,0.8333333333333334
Q469904,Montagnier,Robert Gallo,0.2727272727272727
Q103844,Montagnier,Françoise Barré-Sinoussi,0.17647058823529413
Q185007,Montagnier,Rita Levi-Montalcini,0.4666666666666667
Q3737789,Fabio Milani,Fabio Milani,1.0
Q3737654,Fabio Milani,Fabio Concato,0.56
Q1243961,Fabio Milani,Fabio Lanzoni,0.72
Q183108,Fabio Milani,Fabio Capello,0.56
Q102027,Fabio Milani,Fabio Cannavaro,0.5925925925925926
Q24895536,Fabio Milani,Fabio Rovazzi,0.56
Q3737860,Fabio Milani,Fabio Troiano,0.72
Q1067,Poeta,Dante Alighieri,0.1
Q3771245,Poeta,Giuseppe Poeta,0.5263157894736842
Q193236,Poeta,Gabriele D'Annunzio,0.08333333333333333
Q772416,Sabina Guzzanti,Sabina Guzzanti,1.0
Q1052910,Sabina Guzzanti,Corrado Guzzanti,0.6451612903225806
Q1050695,Sabina Guzzanti,Caterina Guzzanti,0.8125
Q3955848,Sabina Guzzanti,Serena Dandini,0.4827586206896552
Q153700,Sabina Guzzanti,Oriana Fallaci,0.41379310344827586
Q21196747,Safire,Safiria Leccese,0.5714285714285714
Q55632317,Safire,Alisson Safira,0.5
Q193710,Ne,Ne-Yo,0.5714285714285714
Q151075,Francesco Toscano,Francesco I di Lorena,0.631578947368421
Q299675,Francesco Toscano,Francesco I de' Medici,0.5641025641025641
Q3719683,Francesco Toscano,Edoardo Toscano,0.625
Q3749631,Francesco Toscano,Francesco Bianconi,0.7428571428571429
Q767973,Francesco Toscano,Francesco Nuti,0.6451612903225806
Q61053,Scholz,Olaf Scholz,0.7058823529411765
Q984353,Scholz,Tom Scholz,0.75
Q652273,Scholz,Ronny Scholz,0.6666666666666666
Q2042123,Scholz,Josip Scholz,0.6666666666666666
Q536216,Scholz,Georg Scholz,0.6666666666666666
Q74810,Scholz,Fritz von Scholz,0.5454545454545454
Q539254,Scholz,Heiko Scholz,0.6666666666666666
Q76793,Davos,Klaus Schwab,0.23529411764705882
Q229272,Davos,Ernst Ludwig Kirchner,0.07692307692307693
Q40787,Q. La Russia,Nicola II di Russia,0.5161290322580645
Q458614,Silvana De Mari,Silvana De Mari,1.0
Q3960649,Silvana De Mari,Silvano Mari,0.8148148148148148
Q437189,Silvana De Mari,Silvana Pampanini,0.625
Q450675,Papà,Papa Francesco,0.3333333333333333
Q76464,Warburg,Otto Heinrich Warburg,0.5
Q456730,Gregg,Gregg Popovich,0.5263157894736842
Q503264,Gregg,Gregg Allman,0.5882352941176471
Q1386043,Gregg,Ezio Greggio,0.5882352941176471
Q113206,Gregg,Clark Gregg,0.625
Q708899,Gregg,Gregg Araki,0.625
Q289252,Gregg,Gregg Sulkin,0.5882352941176471
Q3643523,Gregg,Bradley Gregg,0.5555555555555556
Q1335067,Gregg,Gregg Rolie,0.625
Q567,Merkel,Angela Merkel,0.631578947368421
Q327205,Merkel,Alexander Merkel,0.5454545454545454
Q61053,Merkel,Olaf Scholz,0.11764705882352941
Q266473,Merkel,Una Merkel,0.75
Q3605400,Merkel,Adolf Merkel,0.6666666666666666
Q457826,Licia Ronzulli,Licia Ronzulli,1.0
Q2850556,Licia Ronzulli,Anna Maria Bernini,0.3125
Q55281541,Licia Ronzulli,Marta Fascina,0.2222222222222222
Q3809798,Licia Ronzulli,Jole Santelli,0.37037037037037035
Q52418866,Licia Ronzulli,Alessandro Sorte,0.2
Q73367368,Roe v,Paul Mescal,0.125
Q355133,Roe v,Jamie Kennedy,0.2222222222222222
Q218279,Roe v,Zoey Deutch,0.375
Q7422888,Roe v,Sarah Weddington,0.09523809523809523
Q167520,Roe v,Jon Voight,0.26666666666666666
Q3792432,Loro,Igor Loro,0.6153846153846154
Q164117,Mueller,Armin Mueller-Stahl,0.5384615384615384
Q317041,Mueller,Otto Mueller,0.7368421052631579
Q5167087,Mueller,Cookie Mueller,0.6666666666666666
Q715156,Mueller,Robert Mueller,0.6666666666666666
Q6187776,Mueller,Jessie Mueller,0.6666666666666666
Q16957590,Mueller,Tom Mueller,0.7777777777777778
Q19144178,Mueller,Kayla Mueller,0.7
Q13581225,Di Maio,Luigi Di Maio,0.7
Q86360347,Di Maio,Salvatore Di Maio,0.5833333333333334
Q1776713,Di Maio,Sebastien De Maio,0.5
Q3886406,Di Maio,Oscar Di Maio (1959),0.5185185185185185
Q20056543,Di Maio,Olimpia Di Maio,0.6363636363636364
Q30230467,Di Maio,Gaspare Di Maio,0.6363636363636364
Q313721,Cornelius Vanderbilt,Cornelius Vanderbilt,1.0
Q2708289,Cornelius Vanderbilt,Cornelius Vanderbilt II,0.9302325581395349
Q578647,Cornelius Vanderbilt,William Henry Vanderbilt,0.5909090909090909
Q919049,Cornelius Vanderbilt,James Vanderbilt,0.7222222222222222
Q5362177,Cornelius Vanderbilt,Eliza Osgood Vanderbilt,0.6511627906976745
Q271910,Cornelius Vanderbilt,Gertrude Vanderbilt Whitney,0.5531914893617021
Q2010288,Cornelius Vanderbilt,Reginald Claypoole Vanderbilt,0.5714285714285714
Q32500,Carlo,Carlo V d'Asburgo,0.45454545454545453
Q36234,Carlo,Carlo III di Spagna,0.4166666666666667
Q203829,Carlo,Carlo I d'Angiò,0.5
Q150665,Carlo,Carlo VI d'Asburgo,0.43478260869565216
Q1042085,Carlo,Carlo Di Carlo,0.5263157894736842
Q3044,Carlo,Carlo Magno,0.625
Q193397,Vai,Steve Vai,0.5
Q52419251,Pagella Politica,Augusta Montaruli,0.36363636363636365
Q3852630,Pagella Politica,Maurizio Leo,0.21428571428571427
Q12467437,Pagella Politica,Carlo Calenda,0.20689655172413793
Q63216062,Pagella Politica,Vittoria Baldino,0.1875
Q19357364,Pagella Politica,Carlo Nordio,0.35714285714285715
Q13581225,Pagella Politica,Luigi Di Maio,0.13793103448275862
Q3750290,Pagella Politica,Francesco Merloni,0.30303030303030304
Q61831,"mè gradito

",Jerry Calà,0.18181818181818182
Q56009,"mè gradito

",Gina Lollobrigida,0.20689655172413793
Q3660299,"mè gradito

",Carmen Di Pietro,0.2857142857142857
Q133600,"mè gradito

",Banksy,0.1111111111111111
Q469154,"mè gradito

",Lucio Battisti,0.3076923076923077
Q47365,"mè gradito

",Maria Antonietta d'Asburgo-Lorena,0.13333333333333333
Q126599,"mè gradito

",Kristen Stewart,0.2222222222222222
Q1048,"mè gradito

",Gaio Giulio Cesare,0.13333333333333333
Q4886439,Salem Media,Ben Shapiro,0.2727272727272727
Q525152,Salem Media,Salem Al Fakir,0.56
Q298255,Salem Media,Rob Zombie,0.09523809523809523
Q508338,Zaia,Luca Zaia,0.6153846153846154
Q16575521,Zaia,Manuela Lanzarin,0.2
Q3763228,Zaia,Gianluca Forcolin,0.19047619047619047
Q1511,Avvertiamo,Richard Wagner,0.16666666666666666
Q1224,Avvertiamo,Carlo Azeglio Ciampi,0.3333333333333333
Q929630,Avvertiamo,Franco Basaglia,0.24
Q294572,Gustave Le Bon –,Gustave Le Bon,0.9333333333333333
Q434839,Gustave Le Bon –,Edward Bernays,0.26666666666666666
Q61053,Warburg Bank,Olaf Scholz,0.17391304347826086
Q451791,Condividiamo,Giorgia Meloni,0.23076923076923078
Q80504,Condividiamo,Nicolae Ceaușescu,0.13793103448275862
Q21030384,Cosco,Vincenzo Cosco,0.5263157894736842
Q3829204,Cosco,Lea Garofalo,0.23529411764705882
Q3847291,Maria Giovanna Maglie,Maria Giovanna Maglie,1.0
Q452825,Maria Giovanna Maglie,Sparizione di Emanuela Orlandi,0.3137254901960784
Q3749442,Maria Giovanna Maglie,Francesca Reggiani,0.20512820512820512
Q3851252,Maria Giovanna Maglie,Massimo Fini,0.42424242424242425
Q3335,Orwell,George Orwell,0.631578947368421
Q60137,"ADESSO ❓

Ora",Eckhart Tolle,0.15384615384615385
Q41458912,"ADESSO ❓

Ora",Enrico Nigiotti,0.14285714285714285
Q381484,Gatti,Arturo Gatti (pugile),0.38461538461538464
Q61831,Gatti,Jerry Calà,0.13333333333333333
Q1163740,Gatti,Daniele Gatti,0.5555555555555556
Q47602,D'Alema,Massimo D'Alema,0.6363636363636364
Q3770384,D'Alema,Giuseppe D'Alema,0.6086956521739131
Q446016,D'Alema,Livia Turco,0.1111111111111111
Q47556,D'Alema,Pier Luigi Bersani,0.16
Q3956186,D'Alema,Sergio Mattarella,0.16666666666666666
Q76793,Klaus Schwab!,Klaus Schwab,0.96
Q573246,Klaus Schwab!,Anthony Fauci,0.23076923076923078
Q183492,Klaus Schwab!,Margaret Atwood,0.21428571428571427
Q458709,Klaus Schwab!,Magdi Allam,0.16666666666666666
Q2439864,John Fetterman,Tom Marino,0.16666666666666666
Q4960876,John Fetterman,Brendan Boyle,0.2222222222222222
Q6662742,John Fetterman,Lloyd Smucker,0.2962962962962963
Q971308,John Fetterman,Pat Toomey,0.16666666666666666
Q16560401,Giulia Grillo,Giulia Grillo,1.0
Q8220404,Giulia Grillo,Roberto Speranza,0.06896551724137931
Q47683,Giulia Grillo,Beppe Grillo,0.56
Q3637263,Giulia Grillo,Beatrice Lorenzin,0.26666666666666666
Q15972657,Giulia Grillo,Danilo Toninelli,0.20689655172413793
Q64840883,Giulia Grillo,Adriano Panzironi,0.3333333333333333
Q3852602,Giulia Grillo,Maurizio Fugatti,0.27586206896551724
Q1220,Napolitano,Giorgio Napolitano,0.7142857142857143
Q1872982,Napolitano,Luca Napolitano,0.8
Q16676852,Napolitano,Stefano Napolitano,0.7142857142857143
Q4003444,Napolitano,Umberto Napolitano,0.7142857142857143
Q2577277,Napolitano,Norberto Napolitano,0.6896551724137931
Q3339896,Napolitano,Nicola Napolitano,0.7407407407407407
Q229032,Napolitano,Janet Napolitano,0.7692307692307693
Q264730,Gloria Vanderbilt,Gloria Vanderbilt,1.0
Q3835694,Gloria Vanderbilt,Liù Bosisio,0.21428571428571427
Q206856,Gloria Vanderbilt,Angela Lansbury,0.375
Q935640,Gloria Vanderbilt,Clara Bindi,0.5
