n,name
http://www.wikidata.org/entity/Q1261347,Gerard
http://www.wikidata.org/entity/Q179610,Alvin
http://www.wikidata.org/entity/Q342004,Đorđe
http://www.wikidata.org/entity/Q180488,Osmar
http://www.wikidata.org/entity/Q1256867,Grimo
http://www.wikidata.org/entity/Q1260477,Turgay
http://www.wikidata.org/entity/Q1261968,Jamal
http://www.wikidata.org/entity/Q1263401,Duccio
http://www.wikidata.org/entity/Q336958,Beat
http://www.wikidata.org/entity/Q1264201,Duilio
http://www.wikidata.org/entity/Q1261950,Ja'far
http://www.wikidata.org/entity/Q340348,Achim
http://www.wikidata.org/entity/Q2196647,Hylke
http://www.wikidata.org/entity/Q2197985,Jelmer
http://www.wikidata.org/entity/Q2196428,Tjaard
http://www.wikidata.org/entity/Q2221177,Sandro
http://www.wikidata.org/entity/Q180312,Torben
http://www.wikidata.org/entity/Q2086246,Lolle
http://www.wikidata.org/entity/Q187603,Thorolf
http://www.wikidata.org/entity/Q343153,İbrahim
http://www.wikidata.org/entity/Q2219102,Samy
http://www.wikidata.org/entity/Q2217694,Samson
http://www.wikidata.org/entity/Q2089080,Ilario
http://www.wikidata.org/entity/Q2087690,Ulric
http://www.wikidata.org/entity/Q187228,Zekeriya
http://www.wikidata.org/entity/Q2072713,Perun
http://www.wikidata.org/entity/Q2081336,Emerson
http://www.wikidata.org/entity/Q180515,Siegbald
http://www.wikidata.org/entity/Q2095431,Pinchas
http://www.wikidata.org/entity/Q2094793,Pikria
http://www.wikidata.org/entity/Q2095884,Pinkus
http://www.wikidata.org/entity/Q1264039,Tilman
http://www.wikidata.org/entity/Q2195802,Februus
http://www.wikidata.org/entity/Q2211473,Safet
http://www.wikidata.org/entity/Q2214481,Siebren
http://www.wikidata.org/entity/Q1267639,Eder
http://www.wikidata.org/entity/Q343835,Ilyas
http://www.wikidata.org/entity/Q2187196,Reinout
http://www.wikidata.org/entity/Q2177960,Ruy
http://www.wikidata.org/entity/Q340285,Achille
http://www.wikidata.org/entity/Q337400,Ludger
http://www.wikidata.org/entity/Q2093412,Nazar
http://www.wikidata.org/entity/Q187250,Zeki
http://www.wikidata.org/entity/Q2190619,José
http://www.wikidata.org/entity/Q2097234,Rune
http://www.wikidata.org/entity/Q2096796,Pirmin
http://www.wikidata.org/entity/Q187837,Jacek
http://www.wikidata.org/entity/Q340531,Achisch
http://www.wikidata.org/entity/Q1265453,Juha
http://www.wikidata.org/entity/Q2221533,Sanel
http://www.wikidata.org/entity/Q191374,Zephyrin
http://www.wikidata.org/entity/Q2226201,Satoshi
http://www.wikidata.org/entity/Q1278538,Ebbo
http://www.wikidata.org/entity/Q1278557,Ebele
http://www.wikidata.org/entity/Q197032,Zeuxippos
http://www.wikidata.org/entity/Q1268248,Duško
http://www.wikidata.org/entity/Q1272055,Tommy
http://www.wikidata.org/entity/Q2109680,Priit
http://www.wikidata.org/entity/Q2093070,Pierre
http://www.wikidata.org/entity/Q2246251,Jens
http://www.wikidata.org/entity/Q2098717,Matej
http://www.wikidata.org/entity/Q2220245,Sanatruq
http://www.wikidata.org/entity/Q1281469,Eckbert
http://www.wikidata.org/entity/Q1276878,Ealdberht
http://www.wikidata.org/entity/Q1274245,Lienhard
http://www.wikidata.org/entity/Q2107751,Pranciškus
http://www.wikidata.org/entity/Q2107738,Pranas
http://www.wikidata.org/entity/Q344119,İsmail
http://www.wikidata.org/entity/Q1282258,Ed
http://www.wikidata.org/entity/Q2106710,Poul
