s,o,entity
odang_person_8405076,P27,Q38
Q2623520,label,Tina Knowles
odang_person_3609021,P102,Q47729
odang_person_7200101,P39,Q3954360
odang_person_4793416,P20,Q39501
odang_person_2391427,P27,Q34266
odang_person_5971462,P106,Q1327329
Q554495,label,Trofeo Bravo
odang_person_1208567,P1412,Q1860
odang_person_4795319,P569,1948
Q20993895,label,Chet Hanks
odang_person_3591332,P27,Q142
odang_person_1197973,P26,Q311241
Q12201477,label,Commendatore dell'Ordine dell'Impero Britannico
Q5412073,label,Europa di Macedonia
odang_person_84797,P106,Q372436
odang_person_8368332,P1412,Q9035
odang_person_5978599,P166,Q17985761
Q15070044,label,Malia Obama
odang_person_7165093,P106,Q18814623
Q297913,label,Abu Talib
odang_person_1198059,P40,Q361636
odang_person_2391784,P106,Q36180
odang_person_1305562,P106,Q55960555
odang_person_7165099,P1412,Q35497
Q82960,label,Rottweil
odang_person_5970875,P166,Q20006267
odang_person_4783917,P3373,Q16939693
odang_person_391,P106,Q2059704
odang_person_8369550,P166,Q1265782
odang_person_5109197,P106,Q1130252
odang_person_20293,P106,Q219477
Q1532145,label,Innosense
odang_person_5981016,P21,Q6581072
odang_person_5986396,P39,Q19969187
odang_person_4887280,P27,Q39
odang_person_6079432,P21,Q6581097
odang_person_2391427,P106,Q15994177
odang_person_3602183,P106,Q4610556
odang_person_5109197,P21,Q6581097
Q15291073,label,Luigi Berlusconi
Q23958341,label,presidente della giuria del festival di Cannes
odang_person_7165179,P21,Q6581097
odang_person_4122140,P19,Q13670
Q292708,label,Randi Zuckerberg
odang_person_5970875,P40,Q96077133
odang_person_8368332,P106,Q3282637
Q375990,label,World Music Award
odang_person_1197973,P106,Q183945
odang_person_8360972,P166,Q63091960
odang_person_4797704,P106,Q937857
odang_person_8375004,P103,Q652
odang_person_5305938,P39,Q796897
Q850170,label,ricompensa al valor militare
Q7164,label,Banca Mondiale
odang_person_3593029,P21,Q6581097
odang_person_2392113,P21,Q6581097
odang_person_5978177,P166,Q3053245
odang_person_2575564,P106,Q36834
odang_person_3584618,P3373,Q26925
odang_person_4794799,P21,Q6581072
Q194540,label,medaglia del giubileo di diamante di Elisabetta II
Q231228,label,Solange Knowles
Q1218,label,Gerusalemme
odang_person_5984384,P106,Q937857
Q62,label,San Francisco
odang_person_5971032,P26,Q2942199
odang_person_1223288,P106,Q250867
odang_person_7268194,P569,1994
odang_person_4778575,P166,Q14539726
odang_person_1208972,P1412,Q1860
odang_person_2392348,P6886,Q1860
odang_person_2392348,P21,Q6581097
odang_person_8372530,P39,Q611644
odang_person_2391823,P106,Q28389
odang_person_1197595,P166,Q1102214
odang_person_8376832,P1412,Q150
odang_person_5977378,P463,Q212329
Q995488,label,Sandhurst
odang_person_1198152,P569,1989
odang_person_1548164,P166,Q14539720
odang_person_7165335,P166,Q2452975
odang_person_4794261,P1412,Q150
Q2452975,label,ordine del liberatore
odang_person_3585192,P172,Q7435494
odang_person_2391430,P19,Q2044
odang_person_1197352,P1412,Q1321
odang_person_8444261,P106,Q1622272
odang_person_7273149,P1412,Q652
odang_person_4786679,P166,Q14539729
odang_person_5984384,P106,Q628099
odang_person_8369215,P27,Q38
odang_person_6076679,P19,Q221377
odang_person_7961,P106,Q19350898
odang_person_3584618,P569,7
odang_person_5978177,P166,Q1260789
odang_person_4784705,P937,Q1726
odang_person_8441469,P1412,Q652
odang_person_4800928,P106,Q937857
odang_person_6669,P21,Q6581097
Q1465674,label,chiesa di Sant'Ignazio di Loyola in Campo Marzio
odang_person_2391427,P119,Q191414
odang_person_1197564,P551,Q47034
odang_person_6838,P166,Q5593890
odang_person_7165053,P551,Q750
odang_person_4887280,P551,Q70629
odang_person_8372530,P27,Q1747689
Q2975280,label,Clan Itō
odang_person_2498998,P21,Q6581097
odang_person_31288,P27,Q172579
odang_person_2398759,P39,Q18711738
odang_person_7474417,P102,Q21405813
Q1281618,label,scultore
Q168827,label,profeti dell'Islam
odang_person_5970875,P40,Q1374840
odang_person_4788830,P166,Q1738793
Q3910675,label,Premio Scanno
Q51136224,label,Tiziano Renzi
Q33923,label,Pietro
odang_person_8360972,P166,Q10855212
odang_person_476,P166,Q4994728
odang_person_391,P106,Q18545066
odang_person_3971509,P1412,Q1860
odang_person_7269978,P21,Q6581097
odang_person_3584725,P27,Q27
odang_person_3585486,P6886,Q652
Q315149,label,Giovanni da Pian del Carpine
odang_person_2392348,P937,Q34006
odang_person_3585442,P1412,Q1860
odang_person_8684517,P166,Q850170
odang_person_1791286,P166,Q14539720
odang_person_3585558,P1412,Q1321
odang_person_7171655,P3373,Q314670
odang_person_2575564,P569,1855
odang_person_7165093,P166,Q4335903
odang_person_6074931,P27,Q408
odang_person_8379677,P106,Q43845
odang_person_8384962,P106,Q49757
odang_person_186,P26,Q263791
Q237,label,Città del Vaticano
odang_person_2392348,P166,Q249006
odang_person_4795653,P106,Q82955
odang_person_3609021,P21,Q6581097
odang_person_107438,P102,Q286140
Q9192,label,cinese mandarino
odang_person_522,P19,Q65
odang_person_391,P106,Q2526255
odang_person_5977378,P937,Q30
odang_person_1225777,P108,Q959524
odang_person_5970915,P40,Q20993895
odang_person_5973522,P166,Q106301
odang_person_2411812,P569,1985
odang_person_6074364,P106,Q1930187
odang_person_4778076,P39,Q27795992
odang_person_4777951,P551,Q35525
odang_person_5978708,P21,Q6581097
odang_person_8468783,P19,Q18419
odang_person_3634633,P19,Q25270
odang_person_7200043,P3373,Q1050695
odang_person_7174394,P106,Q36180
Q60,label,New York
Q1458155,label,Cosa Nostra
odang_person_9720,P102,Q780997
Q7827568,label,Tosca Musk
odang_person_1197987,P166,Q207601
odang_person_8468687,P1412,Q652
odang_person_3598389,P21,Q6581097
odang_person_3892253,P21,Q6581097
odang_person_2497787,P21,Q6581097
odang_person_2409385,P106,Q10833314
odang_person_8782814,P19,Q13370
Q46687,label,Belfiore
odang_person_872,P1412,Q397
Q844872,label,medaglia Hughes
odang_person_6669,P569,1940
odang_person_2391784,P25,Q22952511
odang_person_7164960,P40,Q689638
odang_person_5057156,P569,1994
odang_person_8360890,P26,Q13133
Q107604158,label,Giacomo Draghi
odang_person_186,P106,Q215536
odang_person_7165335,P119,Q3676872
odang_person_3602387,P569,1950
odang_person_8361107,P3373,Q56166624
odang_person_6295861,P21,Q6581097
odang_person_2391784,P569,1946
Q1130252,label,direttore sportivo
Q35703322,label,Lara Trump
odang_person_3587036,P21,Q6581097
odang_person_3596948,P569,1993
odang_person_2392348,P26,Q75579563
odang_person_3585192,P166,Q14705795
Q2665964,label,Bruno Mussolini
odang_person_108268,P937,Q546
Q98552221,label,artista plastico
Q478769,label,Ramacca
odang_person_7514110,P21,Q6581097
odang_person_108268,P569,1980
Q90810580,label,Jayden Siwa
odang_person_4794261,P1412,Q188
odang_person_84797,P3373,Q29889211
odang_person_4795653,P102,Q215350
odang_person_2392113,P569,1925
odang_person_6079432,P569,1938
odang_person_1197352,P102,Q938903
odang_person_6002630,P569,1943
odang_person_7269978,P19,Q1449
odang_person_2497150,P20,Q84
odang_person_8360890,P551,Q192857
Q18350440,label,Agnese Landini
odang_person_2405325,P27,Q38
Q20413,label,Città di Castello
odang_person_4785004,P569,1993
odang_person_3585192,P106,Q37226
odang_person_5981016,P27,Q30
Q698102,label,William Patrick Stuart-Houston
Q2282132,label,Patriarca d'Occidente
odang_person_4793416,P106,Q2259451
odang_person_7223,P166,Q337620
Q3282637,label,produttore cinematografico
